POmtg542_1:1	sorry	FI(FI)	sorry
POmtg542_34:10	hearing	VVG(NN)	hear/hearing
POmtg542_34:11	process	NN(NN)	process
POmtg542_34:12	before	IN(IN)	before
POmtg542_34:13	we	PP(PP)	we
POmtg542_34:14	finish	VVP(VVP)	finish
POmtg542_34:15	the	DT(DT)	the
POmtg542_34:16	report	NN(NN)	report

POmtg542_35:1	yah	RE(RE)	yah

POmtg542_36:1	and	CC(CC)	and
POmtg542_36:2	then	RB(RB)	then
POmtg542_36:3	the	DT(DT)	the
POmtg542_36:4	follow-up	NN(NN)	follow-up
POmtg542_36:5	and	CC(CC)	and
POmtg542_36:6	the	DT(DT)	the
POmtg542_36:7	comments	NNS(NNS)	comment
POmtg542_36:8	_0	PA(PA)	
POmtg542_36:9	and	CC(CC)	and
POmtg542_36:10	the	DT(DT)	the
POmtg542_36:11	agency	NN(NN)	agency
POmtg542_36:12	would	MD(MD)	will
POmtg542_36:13	be	VB(VB)	be
POmtg542_36:14	part	NN(NN)	part
POmtg542_36:15	of	IN(IN)	of
POmtg542_36:16	a	DT(DT)	a
POmtg542_36:17	hearing	VVG(NN)	hear/hearing
POmtg542_36:18	they	PP(PP)	they
POmtg542_36:19	should	MD(MD)	shall
POmtg542_36:20	have	VH(VH)	have
POmtg542_36:21	the	DT(DT)	the
POmtg542_36:22	possibility	NN(NN)	possibility
POmtg542_36:23	to	TO(TO)	to
POmtg542_36:24	_1	PA(PA)	
POmtg542_36:25	to	TO(TO)	to
POmtg542_36:26	comment	VV(VV)	comment
POmtg542_36:27	but	CC(CC)	but
POmtg542_36:28	_1	PA(PA)	

POmtg542_37:1	mhm	RE(RE)	mhm

POmtg542_38:1	to	IN(IN)	to
POmtg542_38:2	that	DT(DT)	that
POmtg542_38:3	extent	NN(NN)	extent
POmtg542_38:4	comment	VV(VV)	comment
POmtg542_38:5	on	IN(IN)	on
POmtg542_38:6	the	DT(DT)	the
POmtg542_38:7	report	NN(NN)	report
POmtg542_38:8	_1	PA(PA)	
POmtg542_38:9	er	UH(UH)	er
POmtg542_38:10	er	UH(UH)	er
POmtg542_38:11	er	UH(UH)	er
POmtg542_38:12	_2	PA(PA)	

POmtg542_39:1	yah	RE(RE)	yah

POmtg542_40:1	it	PP(PP)	it
POmtg542_40:2	's	VBS(VBS)	be
POmtg542_40:3	a	DT(DT)	a
POmtg542_40:4	lot	NN(NN)	lot
POmtg542_40:5	of	IN(IN)	of
POmtg542_40:6	clauses	NNS(NNS)	clause
POmtg542_40:7	we	PP(PP)	we
POmtg542_40:8	get	VVP(VVP)	get
POmtg542_40:9	on	IN(IN)	on
POmtg542_40:10	that	DT(DT)	that
POmtg542_40:11	way	NN(NN)	way
POmtg542_40:12	of	RB(RB)	of
POmtg542_40:13	course	RB(RB)	course

POmtg542_41:1	yeah	RE(RE)	yeah
POmtg542_41:2	hh	BR(BR)	

POmtg542_42:1	what	WP(WP)	what
POmtg542_42:2	do	VVP(VVP)	do
POmtg542_42:3	you	PP(PP)	you
POmtg542_42:4	think	VV(VV)	think
POmtg542_42:5	a_[S4]	NP(NP)	
POmtg542_42:6	_1	PA(PA)	

POmtg542_43:1	two	CD(CD)	two
POmtg542_43:2	two	CD(CD)	two
POmtg542_43:3	things	NNS(NNS)	thing
POmtg542_43:4	one	CD(CD)	one
POmtg542_43:5	_0	PA(PA)	
POmtg542_43:6	is	VBZ(VBZ)	be
POmtg542_43:7	one	CD(CD)	one
POmtg542_43:8	doubt	NN(NN)	doubt
POmtg542_43:9	i	PP(PP)	i
POmtg542_43:10	do	VVP(VVP)	do
POmtg542_43:11	n't	RB(RB)	not
POmtg542_43:12	know	VV(VV)	know
POmtg542_43:13	if	IN(IN)	if
POmtg542_43:14	we	PP(PP)	we
POmtg542_43:15	need	VVP(VVP)	need
POmtg542_43:16	if	IN(IN)	if
POmtg542_43:17	there	EX(EX)	there
POmtg542_43:18	is	VBZ(VBZ)	be
POmtg542_43:19	xxx	UNI(UNI)	
POmtg542_43:20	xxx	UNI(UNI)	
POmtg542_43:21	for	RB(RB)	for
POmtg542_43:22	example	RB(RB)	example
POmtg542_43:23	_0	PA(PA)	
POmtg542_43:24	if	IN(IN)	if
POmtg542_43:25	we	PP(PP)	we
POmtg542_43:26	need	VVP(VVP)	need
POmtg542_43:27	to	TO(TO)	to
POmtg542_43:28	introduce	VV(VV)	introduce
POmtg542_43:29	_0	PA(PA)	
POmtg542_43:30	er	UH(UH)	er
POmtg542_43:31	in	IN(IN)	in
POmtg542_43:32	the	DT(DT)	the
POmtg542_43:33	middle	NN(NN)	middle
POmtg542_43:34	s-	XX(XX)	
POmtg542_43:35	s-	XX(XX)	
POmtg542_43:36	something	NN(NN)	something
POmtg542_43:37	such	IN(IN)	such
POmtg542_43:38	as	IN(IN)	as
POmtg542_43:39	decision	NN(NN)	decision
POmtg542_43:40	member	NN(NN)	member
POmtg542_43:41	_0	PA(PA)	

POmtg542_44:1	mhm	RE(RE)	mhm

POmtg542_45:1	because	IN(IN)	because
POmtg542_45:2	the	DT(DT)	the
POmtg542_45:3	external	JJ(JJ)	external
POmtg542_45:4	evaluation	NN(NN)	evaluation
POmtg542_45:5	is	VBZ(VBZ)	be
POmtg542_45:6	very	RB(RB)	very
POmtg542_45:7	close	RB(RB)	close
POmtg542_45:8	_0	PA(PA)	
POmtg542_45:9	to	TO(TO)	to
POmtg542_45:10	become	VV(VV)	become
POmtg542_45:11	member	NN(NN)	member
POmtg542_45:12	of	IN(IN)	of
POmtg542_45:13	a_[org1]	NP(NP)	
POmtg542_45:14	_0	PA(PA)	
POmtg542_45:15	so	DM(DM)	so
POmtg542_45:16	er	UH(UH)	er
POmtg542_45:17	_0	PA(PA)	
POmtg542_45:18	you	PP(PP)	you
POmtg542_45:19	can	MD(MD)	can
POmtg542_45:20	er	UH(UH)	er
POmtg542_45:21	appeal	VV(VV)	appeal
POmtg542_45:22	on	IN(IN)	on
POmtg542_45:23	the	DT(DT)	the
POmtg542_45:24	report	NN(NN)	report
POmtg542_45:25	that	DT(DT)	that
POmtg542_45:26	's	VBS(VBS)	be
POmtg542_45:27	right	JJ(JJ)	right
POmtg542_45:28	but	CC(CC)	but
POmtg542_45:29	as	RB(RB)	as
POmtg542_45:30	well	RB(RB)	well
POmtg542_45:31	you	PP(PP)	you
POmtg542_45:32	can	MD(MD)	can
POmtg542_45:33	appeal	VV(VV)	appeal
POmtg542_45:34	on	IN(IN)	on
POmtg542_45:35	the	DT(DT)	the
POmtg542_45:36	decision	NN(NN)	decision
POmtg542_45:37	er	UH(UH)	er
POmtg542_45:38	_0	PA(PA)	
POmtg542_45:39	which	PRE(PRE)	which
POmtg542_45:40	is	VBZ(VBZ)	be
POmtg542_45:41	going	VVG(VVG)	go
POmtg542_45:42	to	TO(TO)	to
POmtg542_45:43	be	VB(VB)	be
POmtg542_45:44	done	VVN(VVN)	do
POmtg542_45:45	by	IN(IN)	by
POmtg542_45:46	the	DT(DT)	the
POmtg542_45:47	report	NN(NN)	report
POmtg542_45:48	_0	PA(PA)	
POmtg542_45:49	so	DM(DM)	so
POmtg542_45:50	_0	PA(PA)	
POmtg542_45:51	my	PP$(PP$)	i
POmtg542_45:52	doubt	NN(NN)	doubt
POmtg542_45:53	is	VBZ(VBZ)	be
POmtg542_45:54	i-	XX(XX)	
POmtg542_45:55	if	IN(IN)	if
POmtg542_45:56	we	PP(PP)	we
POmtg542_45:57	_1	PA(PA)	
POmtg542_45:58	we	PP(PP)	we
POmtg542_45:59	can	MD(MD)	can
POmtg542_45:60	introduce	VV(VV)	introduce
POmtg542_45:61	something	NN(NN)	something
POmtg542_45:62	on	IN(IN)	on
POmtg542_45:63	as	IN(IN)	as
POmtg542_45:64	_1	PA(PA)	
POmtg542_45:65	er	UH(UH)	er
POmtg542_45:66	decision	NN(NN)	decision
POmtg542_45:67	or	CC(CC)	or
POmtg542_45:68	_1	PA(PA)	
POmtg542_45:69	on	IN(IN)	on
POmtg542_45:70	the	DT(DT)	the
POmtg542_45:71	_0	PA(PA)	
POmtg542_45:72	after	IN(IN)	after
POmtg542_45:73	the	DT(DT)	the
POmtg542_45:74	external	JJ(JJ)	external
POmtg542_45:75	_0	PA(PA)	
POmtg542_45:76	external	JJ(JJ)	external
POmtg542_45:77	evaluation	NN(NN)	evaluation
POmtg542_45:78	_1	PA(PA)	
POmtg542_45:79	and	CC(CC)	and
POmtg542_45:80	another	DT(DT)	another
POmtg542_45:81	thing	NN(NN)	thing
POmtg542_45:82	is	VBZ(VBZ)	be
POmtg542_45:83	_0	PA(PA)	
POmtg542_45:84	this	DT(DT)	this
POmtg542_45:85	is	VBZ(VBZ)	be
POmtg542_45:86	the	DT(DT)	the
POmtg542_45:87	responsibility	NN(NN)	responsibility
POmtg542_45:88	but	CC(CC)	but
POmtg542_45:89	maybe	RB(RB)	maybe
POmtg542_45:90	a	DT(DT)	a
POmtg542_45:91	flow	NN(NN)	flow
POmtg542_45:92	chart	NN(NN)	chart
POmtg542_45:93	_0	PA(PA)	
POmtg542_45:94	on	IN(IN)	on
POmtg542_45:95	how	WRB(WRB)	how
POmtg542_45:96	the	DT(DT)	the
POmtg542_45:97	report	NN(NN)	report
POmtg542_45:98	is	VBZ(VBZ)	be
POmtg542_45:99	moving	VVG(VVG)	move
POmtg542_45:100	_1	PA(PA)	
POmtg542_45:101	could	MD(MD)	can
POmtg542_45:102	hel-	XX(XX)	
POmtg542_45:103	help	VV(VV)	help
POmtg542_45:104	to	TO(TO)	to
POmtg542_45:105	understand	VV(VV)	understand
POmtg542_45:106	xx	UNI(UNI)	
POmtg542_45:107	_0	PA(PA)	
POmtg542_45:108	er	UH(UH)	er
POmtg542_45:109	i-	XX(XX)	
POmtg542_45:110	at	IN(IN)	at
POmtg542_45:111	in	IN(IN)	in
POmtg542_45:112	which	PRE(PRE)	which
POmtg542_45:113	_0	PA(PA)	
POmtg542_45:114	er	UH(UH)	er
POmtg542_45:115	moment	NN(NN)	moment
POmtg542_45:116	_0	PA(PA)	
POmtg542_45:117	the	DT(DT)	the
POmtg542_45:118	_1	PA(PA)	
POmtg542_45:119	the	DT(DT)	the
POmtg542_45:120	agency	NN(NN)	agency
POmtg542_45:121	can	MD(MD)	can
POmtg542_45:122	m-	XX(XX)	
POmtg542_45:123	_0	PA(PA)	
POmtg542_45:124	make	VV(VV)	make
POmtg542_45:125	_0	PA(PA)	
POmtg542_45:126	comments	NNS(NNS)	comment
POmtg542_45:127	or	CC(CC)	or
POmtg542_45:128	receive	VV(VV)	receive
POmtg542_45:129	the	DT(DT)	the
POmtg542_45:130	report	NN(NN)	report
POmtg542_45:131	or	CC(CC)	or
POmtg542_45:132	when	WRB(WRB)	when
POmtg542_45:133	the	DT(DT)	the
POmtg542_45:134	_0	PA(PA)	
POmtg542_45:135	the	DT(DT)	the
POmtg542_45:136	government	NN(NN)	government
POmtg542_45:137	so	DM(DM)	so

POmtg542_46:1	that	DT(DT)	that
POmtg542_46:2	's	VBS(VBS)	be
POmtg542_46:3	that	DT(DT)	that
POmtg542_46:4	's	VBS(VBS)	be
POmtg542_46:5	a	DT(DT)	a
POmtg542_46:6	go-	XX(XX)	

POmtg542_47:1	this	DT(DT)	this
POmtg542_47:2	is	VBZ(VBZ)	be
POmtg542_47:3	more	RBR(RBR)	more
POmtg542_47:4	a	DT(DT)	a

POmtg542_48:1	yes	RE(RE)	yes
POmtg542_48:2	that	DT(DT)	that
POmtg542_48:3	's	VBS(VBS)	be
POmtg542_48:4	a	DT(DT)	a
POmtg542_48:5	good	JJ(JJ)	good
POmtg542_48:6	point	NN(NN)	point
POmtg542_48:7	_0	PA(PA)	
POmtg542_48:8	i	PP(DM)	i
POmtg542_48:9	mean	VVP(DM)	mean
POmtg542_48:10	a	DT(DT)	a
POmtg542_48:11	a	DT(DT)	a
POmtg542_48:12	flow	NN(NN)	flow
POmtg542_48:13	chart	NN(NN)	chart
POmtg542_48:14	but	CC(CC)	but
POmtg542_48:15	not	RB(RB)	not
POmtg542_48:16	a	DT(DT)	a
POmtg542_48:17	flow	NN(NN)	flow
POmtg542_48:18	chart	NN(NN)	chart
POmtg542_48:19	_0	PA(PA)	
POmtg542_48:20	but	CC(CC)	but
POmtg542_48:21	not	RB(RB)	not
POmtg542_48:22	in	IN(IN)	in
POmtg542_48:23	absolute	JJ(JJ)	absolute
POmtg542_48:24	terms	NNS(NNS)	term
POmtg542_48:25	i	PP(DM)	i
POmtg542_48:26	mean	VVP(DM)	mean
POmtg542_48:27	we	PP(PP)	we
POmtg542_48:28	could	MD(MD)	can
POmtg542_48:29	n't	RB(RB)	not
POmtg542_48:30	go	VV(VV)	go
POmtg542_48:31	down	RB(RB)	down
POmtg542_48:32	and	CC(CC)	and
POmtg542_48:33	specify	VV(VV)	specify
POmtg542_48:34	that	IN(IN)	that
POmtg542_48:35	all	DT(DT)	all
POmtg542_48:36	agencies	NNS(NNS)	agency
POmtg542_48:37	should	MD(MD)	shall
POmtg542_48:38	in	IN(IN)	in
POmtg542_48:39	on-	XX(XX)	
POmtg542_48:40	in	IN(IN)	in
POmtg542_48:41	one	CD(CD)	one
POmtg542_48:42	month	NN(NN)	month
POmtg542_48:43	be	VB(VB)	be
POmtg542_48:44	able	JJ(JJ)	able
POmtg542_48:45	to	TO(TO)	to
POmtg542_48:46	_0	PA(PA)	
POmtg542_48:47	accomplish	VV(VV)	accomplish
POmtg542_48:48	this	DT(DT)	this
POmtg542_48:49	and	CC(CC)	and
POmtg542_48:50	that	DT(DT)	that
POmtg542_48:51	but	CC(CC)	but
POmtg542_48:52	just	RB(RB)	just
POmtg542_48:53	the	DT(DT)	the
POmtg542_48:54	sequence	NN(NN)	sequence
POmtg542_48:55	the	DT(DT)	the
POmtg542_48:56	sequence	NN(NN)	sequence
POmtg542_48:57	of	IN(IN)	of
POmtg542_48:58	it	PP(PP)	it
POmtg542_48:59	yes	RE(RE)	yes
POmtg542_48:60	yes	RE(RE)	yes

POmtg542_49:1	ah	UH(UH)	ah
POmtg542_49:2	no	RE(RE)	no
POmtg542_49:3	no	RE(RE)	no
POmtg542_49:4	no	RE(RE)	no
POmtg542_49:5	er	UH(UH)	er
POmtg542_49:6	the	DT(DT)	the
POmtg542_49:7	the	DT(DT)	the

POmtg542_50:1	that	DT(DT)	that
POmtg542_50:2	's	VBS(VBS)	be
POmtg542_50:3	yes	RE(RE)	yes
POmtg542_50:4	the	DT(DT)	the
POmtg542_50:5	sit	VV(VV)	sit
POmtg542_50:6	quit	VV(VV)	quit
POmtg542_50:7	let	VV(VV)	let
POmtg542_50:8	's	PP(PP)	we
POmtg542_50:9	say	VV(VV)	say

POmtg542_51:1	yeah	RE(RE)	yeah
POmtg542_51:2	yeah	RE(RE)	yeah

POmtg542_52:1	mhm	RE(RE)	mhm

POmtg542_53:1	okay	RE(RE)	okay
POmtg542_53:2	that	DT(DT)	that
POmtg542_53:3	's	VBS(VBS)	be
POmtg542_53:4	that	DT(DT)	that
POmtg542_53:5	's	VBS(VBS)	be
POmtg542_53:6	actually	RB(RB)	actually
POmtg542_53:7	a	DT(DT)	a
POmtg542_53:8	a	DT(DT)	a
POmtg542_53:9	_0	PA(PA)	
POmtg542_53:10	and	CC(CC)	and
POmtg542_53:11	that	DT(DT)	that
POmtg542_53:12	could	MD(MD)	can
POmtg542_53:13	then	RB(RB)	then
POmtg542_53:14	include	VV(VV)	include
POmtg542_53:15	the	DT(DT)	the
POmtg542_53:16	hearing	VVG(NN)	hear/hearing
POmtg542_53:17	_1	PA(PA)	
POmtg542_53:18	the	DT(DT)	the
POmtg542_53:19	hearing	VVG(NN)	hear/hearing
POmtg542_53:20	er	UH(UH)	er
POmtg542_53:21	element	NN(NN)	element
POmtg542_53:22	that	DT(DT)	that
POmtg542_53:23	's	VBS(VBS)	be
POmtg542_53:24	a	DT(DT)	a
POmtg542_53:25	good	JJ(JJ)	good
POmtg542_53:26	point	NN(NN)	point
POmtg542_53:27	_0	PA(PA)	

POmtg542_54:1	er	UH(UH)	er
POmtg542_54:2	yeah	RE(RE)	yeah

POmtg542_55:1	but	CC(CC)	but
POmtg542_55:2	xxxx	UNI(UNI)	
POmtg542_55:3	i	PP(DM)	i
POmtg542_55:4	mean	VVP(DM)	mean
POmtg542_55:5	_1	PA(PA)	
POmtg542_55:6	but	CC(CC)	but
POmtg542_55:7	again	RB(RB)	again
POmtg542_55:8	it	PP(PP)	it
POmtg542_55:9	may	MD(MD)	may
POmtg542_55:10	be	VB(VB)	be
POmtg542_55:11	my	PP$(PP$)	i
POmtg542_55:12	er	UH(UH)	er
POmtg542_55:13	somewhat	RB(RB)	somewhat
POmtg542_55:14	er	UH(UH)	er
POmtg542_55:15	_2	PA(PA)	
POmtg542_55:16	er	UH(UH)	er
POmtg542_55:17	basic	JJ(JJ)	basic
POmtg542_55:18	thinking	VVG(NN)	think/thinking
POmtg542_55:19	er	UH(UH)	er
POmtg542_55:20	i	PP(PP)	i
POmtg542_55:21	see	VVP(VVP)	see
POmtg542_55:22	for	IN(IN)	for
POmtg542_55:23	me	PP(PP)	i
POmtg542_55:24	a	DT(DT)	a
POmtg542_55:25	report	NN(NN)	report
POmtg542_55:26	_1	PA(PA)	
POmtg542_55:27	on	IN(IN)	on
POmtg542_55:28	an	DT(DT)	a
POmtg542_55:29	agency	NN(NN)	agency
POmtg542_55:30	which	PRE(PRE)	which
POmtg542_55:31	identifies	VVZ(VVZ)	identify
POmtg542_55:32	clearly	RB(RB)	clearly
POmtg542_55:33	that	IN(IN)	that
POmtg542_55:34	this	DT(DT)	this
POmtg542_55:35	agency	NN(NN)	agency
POmtg542_55:36	fails	VVZ(VVZ)	fail
POmtg542_55:37	in	IN(IN)	in
POmtg542_55:38	meeting	VVG(VVG)	meet
POmtg542_55:39	_1	PA(PA)	

POmtg542_56:1	hm	RE(RE)	hm

POmtg542_57:1	so	RB(RB)	so
POmtg542_57:2	many	JJ(JJ)	many
POmtg542_57:3	criteria	NNS(NNS)	criterion
POmtg542_57:4	for	IN(IN)	for
POmtg542_57:5	membership	NN(NN)	membership
POmtg542_57:6	_1	PA(PA)	
POmtg542_57:7	and	CC(CC)	and
POmtg542_57:8	then	RB(RB)	then
POmtg542_57:9	i	PP(DM)	i
POmtg542_57:10	mean	VVP(DM)	mean
POmtg542_57:11	_0	PA(PA)	
POmtg542_57:12	a_[org1]	NP(NP)	
POmtg542_57:13	must	MD(MD)	must
POmtg542_57:14	decide	VV(VV)	decide
POmtg542_57:15	on	IN(IN)	on
POmtg542_57:16	that	DT(DT)	that
POmtg542_57:17	background	NN(NN)	background
POmtg542_57:18	_0	PA(PA)	
POmtg542_57:19	so	DM(DM)	so
POmtg542_57:20	_0	PA(PA)	
POmtg542_57:21	there	EX(EX)	there
POmtg542_57:22	's	VBS(VBS)	be
POmtg542_57:23	not	RB(RB)	not
POmtg542_57:24	much	JJ(JJ)	much
POmtg542_57:25	to	TO(TO)	to
POmtg542_57:26	appeal	VV(VV)	appeal
POmtg542_57:27	on	IN(IN)	on
POmtg542_57:28	_0	PA(PA)	
POmtg542_57:29	they	PP(PP)	they
POmtg542_57:30	can	MD(MD)	can
POmtg542_57:31	appeal	VV(VV)	appeal
POmtg542_57:32	on	IN(IN)	on
POmtg542_57:33	the	DT(DT)	the
POmtg542_57:34	process	NN(NN)	process
POmtg542_57:35	but	CC(CC)	but
POmtg542_57:36	not	RB(RB)	not
POmtg542_57:37	o-	XX(XX)	
POmtg542_57:38	o-	XX(XX)	
POmtg542_57:39	not	RB(RB)	not
POmtg542_57:40	so	RB(RB)	so
POmtg542_57:41	much	JJ(JJ)	much
POmtg542_57:42	on	IN(IN)	on
POmtg542_57:43	the	DT(DT)	the
POmtg542_57:44	results	NNS(NNS)	result
POmtg542_57:45	_0	PA(PA)	

POmtg542_58:1	no	RE(RE)	no

POmtg542_59:1	hh	BR(BR)	
POmtg542_59:2	_1	PA(PA)	
POmtg542_59:3	not	RB(RB)	not
POmtg542_59:4	_0	PA(PA)	
POmtg542_59:5	okay	RE(RE)	okay

POmtg542_60:1	i	PP(DM)	i
POmtg542_60:2	mean	VVP(DM)	mean
POmtg542_60:3	a_[org1]-	XX(XX)	
POmtg542_60:4	a_[org1]-	XX(XX)	
POmtg542_60:5	a_[org1]	NP(NP)	
POmtg542_60:6	can	MD(MD)	can
POmtg542_60:7	not	RB(RB)	not
POmtg542_60:8	if	IN(IN)	if
POmtg542_60:9	if	IN(IN)	if
POmtg542_60:10	a	DT(DT)	a
POmtg542_60:11	member	NN(NN)	member
POmtg542_60:12	_1	PA(PA)	
POmtg542_60:13	does	VVZ(VVZ)	do
POmtg542_60:14	not	RB(RB)	not
POmtg542_60:15	qualify	VV(VV)	qualify
POmtg542_60:16	through	IN(IN)	through
POmtg542_60:17	the	DT(DT)	the
POmtg542_60:18	_0	PA(PA)	

POmtg542_61:1	yeah	RE(RE)	yeah

POmtg542_62:1	review	NN(NN)	review
POmtg542_62:2	_0	PA(PA)	
POmtg542_62:3	well	DM(DM)	well
POmtg542_62:4	then	RB(RB)	then
POmtg542_62:5	a_[org1]	NP(NP)	
POmtg542_62:6	ca	MD(MD)	can
POmtg542_62:7	n't	RB(RB)	not
POmtg542_62:8	say	VV(VV)	say
POmtg542_62:9	well	DM(DM)	well
POmtg542_62:10	_0	PA(PA)	
POmtg542_62:11	but	CC(CC)	but
POmtg542_62:12	they	PP(PP)	they
POmtg542_62:13	have	VHP(VHP)	have
POmtg542_62:14	been	VBN(VBN)	be
POmtg542_62:15	nice	JJ(JJ)	nice

POmtg542_63:1	mhm	RE(RE)	mhm

POmtg542_64:1	okay	RE(RE)	okay

POmtg542_65:1	@@@	LA(LA)	

POmtg542_66:1	whenever	WRB(WRB)	whenever
POmtg542_66:2	we	PP(PP)	we
POmtg542_66:3	met	VVD(VVD)	meet
POmtg542_66:4	them	PP(PP)	they
POmtg542_66:5	_0	PA(PA)	
POmtg542_66:6	and	CC(CC)	and
POmtg542_66:7	so	DM(DM)	so
POmtg542_66:8	we	PP(PP)	we
POmtg542_66:9	still	RB(RB)	still
POmtg542_66:10	accept	VVP(VVP)	accept
POmtg542_66:11	them	PP(PP)	they
POmtg542_66:12	as	IN(IN)	as
POmtg542_66:13	members	NNS(NNS)	member
POmtg542_66:14	i	PP(DM)	i
POmtg542_66:15	mean	VVP(DM)	mean
POmtg542_66:16	we	PP(PP)	we
POmtg542_66:17	we	PP(PP)	we
POmtg542_66:18	have	VHP(VHP)	have
POmtg542_66:19	to	TO(TO)	to
POmtg542_66:20	be	VB(VB)	be
POmtg542_66:21	_0	PA(PA)	
POmtg542_66:22	very	RB(RB)	very
POmtg542_66:23	consequential	JJ(JJ)	consequential
POmtg542_66:24	about	IN(IN)	about
POmtg542_66:25	all	PDT(PDT)	all
POmtg542_66:26	this	DT(DT)	this
POmtg542_66:27	s-	XX(XX)	
POmtg542_66:28	staff	NN(NN)	staff
POmtg542_66:29	_0	PA(PA)	
POmtg542_66:30	so	DM(DM)	so
POmtg542_66:31	that	DT(DT)	that
POmtg542_66:32	's	VBS(VBS)	be
POmtg542_66:33	i	PP(DM)	i
POmtg542_66:34	mean	VVP(DM)	mean
POmtg542_66:35	a_[S4]	NP(NP)	
POmtg542_66:36	that	DT(DT)	that
POmtg542_66:37	's	VBS(VBS)	be
POmtg542_66:38	the	DT(DT)	the
POmtg542_66:39	reason	NN(NN)	reason
POmtg542_66:40	i	PP(PP)	i
POmtg542_66:41	had	VHD(VHD)	have
POmtg542_66:42	the	DT(DT)	the
POmtg542_66:43	thought	NN(NN)	thought
POmtg542_66:44	i	PP(PP)	i
POmtg542_66:45	see	VVP(VVP)	see
POmtg542_66:46	your	PP$(PP$)	you
POmtg542_66:47	point	NN(NN)	point
POmtg542_66:48	but	CC(CC)	but
POmtg542_66:49	that	DT(DT)	that
POmtg542_66:50	's	VBS(VBS)	be
POmtg542_66:51	the	DT(DT)	the
POmtg542_66:52	reason	NN(NN)	reason
POmtg542_66:53	i	PP(PP)	i
POmtg542_66:54	have	VHP(VHP)	have
POmtg542_66:55	n't	RB(RB)	not
POmtg542_66:56	er	UH(UH)	er
POmtg542_66:57	thought	VVN(VVN)	think
POmtg542_66:58	of	IN(IN)	of
POmtg542_66:59	taking	VVG(VVG)	take
POmtg542_66:60	it	PP(PP)	it
POmtg542_66:61	into	IN(IN)	into
POmtg542_66:62	account	NN(NN)	account

POmtg542_67:1	no	RE(RE)	no

POmtg542_68:1	but	CC(CC)	but
POmtg542_68:2	we	PP(PP)	we
POmtg542_68:3	maybe	RB(RB)	maybe
POmtg542_68:4	i-	XX(XX)	
POmtg542_68:5	if	IN(IN)	if
POmtg542_68:6	we	PP(PP)	we
POmtg542_68:7	had	VHD(VHD)	have

POmtg542_69:1	but	CC(CC)	but
POmtg542_69:2	it	PP(PP)	it
POmtg542_69:3	's	VBS(VBS)	be
POmtg542_69:4	it	PP(PP)	it
POmtg542_69:5	's	VBS(VBS)	be
POmtg542_69:6	i-	XX(XX)	
POmtg542_69:7	it	PP(PP)	it
POmtg542_69:8	's	VBS(VBS)	be
POmtg542_69:9	a	DT(DT)	a
POmtg542_69:10	point	NN(NN)	point
POmtg542_69:11	er	UH(UH)	er
POmtg542_69:12	to	TO(TO)	to
POmtg542_69:13	remember	VV(VV)	remember
POmtg542_69:14	_1	PA(PA)	
POmtg542_69:15	and	CC(CC)	and
POmtg542_69:16	i	PP(PP)	i
POmtg542_69:17	'm	VBP(VBP)	be
POmtg542_69:18	sure	JJ(JJ)	sure
POmtg542_69:19	it	PP(PP)	it
POmtg542_69:20	will	MD(MD)	will
POmtg542_69:21	be	VB(VB)	be
POmtg542_69:22	brought	VVN(VVN)	bring
POmtg542_69:23	up	RP(RP)	up
POmtg542_69:24	_0	PA(PA)	
POmtg542_69:25	because	IN(IN)	because
POmtg542_69:26	er	UH(UH)	er
POmtg542_69:27	_0	PA(PA)	
POmtg542_69:28	i	PP(DM)	i
POmtg542_69:29	mean	VVP(DM)	mean
POmtg542_69:30	@	LA(LA)	
POmtg542_69:31	i	PP(DM)	i
POmtg542_69:32	mean	VVP(DM)	mean
POmtg542_69:33	_1	PA(PA)	
POmtg542_69:34	there	EX(EX)	there
POmtg542_69:35	's	VBS(VBS)	be
POmtg542_69:36	more	JJR(JJR)	more
POmtg542_69:37	consequence	NN(NN)	consequence
POmtg542_69:38	_1	PA(PA)	
POmtg542_69:39	in	IN(IN)	in
POmtg542_69:40	this	DT(DT)	this
POmtg542_69:41	process	NN(NN)	process
POmtg542_69:42	for	IN(IN)	for
POmtg542_69:43	agencies	NNS(NNS)	agency
POmtg542_69:44	that	IN(IN)	that
POmtg542_69:45	then	RB(RB)	then
POmtg542_69:46	there	EX(EX)	there
POmtg542_69:47	are	VBP(VBP)	be
POmtg542_69:48	for	IN(IN)	for
POmtg542_69:49	many	JJ(JJ)	many
POmtg542_69:50	universities	NNS(NNS)	university
POmtg542_69:51	an-	XX(XX)	
POmtg542_69:52	and	CC(CC)	and
POmtg542_69:53	what	WP(WP)	what
POmtg542_69:54	we	PP(PP)	we
POmtg542_69:55	're	VBP(VBP)	be
POmtg542_69:56	doing	VVG(VVG)	do
POmtg542_69:57	in	IN(IN)	in

POmtg542_70:1	yes	RE(RE)	yes

POmtg542_71:1	yeah	RE(RE)	yeah
POmtg542_71:2	_0	PA(PA)	
POmtg542_71:3	that	DT(DT)	that
POmtg542_71:4	's	VBS(VBS)	be
POmtg542_71:5	right	JJ(JJ)	right
POmtg542_71:6	_0	PA(PA)	

POmtg542_72:1	yeah	RE(RE)	yeah

POmtg542_73:1	is	VBZ(VBZ)	be
POmtg542_73:2	just	RB(RB)	just
