POwgd449_1:1	language	NN(NN)	language
POwgd449_98:7	_0	PA(PA)	
POwgd449_98:8	she	PP(PP)	she
POwgd449_98:9	knows	VVZ(VVZ)	know
POwgd449_98:10	she	PP(PP)	she
POwgd449_98:11	has	VHZ(VHZ)	have
POwgd449_98:12	to	TO(TO)	to
POwgd449_98:13	bring	VV(VV)	bring
POwgd449_98:14	in	RB(RB)	in
POwgd449_98:15	the	DT(DT)	the
POwgd449_98:16	coffee	NN(NN)	coffee
POwgd449_98:17	but	CC(CC)	but
POwgd449_98:18	i	PP(PP)	i
POwgd449_98:19	have	VHP(VHP)	have
POwgd449_98:20	to	TO(TO)	to
POwgd449_98:21	tell	VV(VV)	tell
POwgd449_98:22	her	PP(PP)	she
POwgd449_98:23	again	RB(RB)	again
POwgd449_98:24	_0	PA(PA)	

POwgd449_99:1	you	PP(PP)	you
POwgd449_99:2	can	MD(MD)	can
POwgd449_99:3	xx	UNI(UNI)	
POwgd449_99:4	cos	IN(IN)	cos
POwgd449_99:5	i	PP(PP)	i
POwgd449_99:6	missed	VVD(VVD)	miss
POwgd449_99:7	it	PP(PP)	it
POwgd449_99:8	@	LA(LA)	

POwgd449_100:1	yeah	RE(RE)	yeah
POwgd449_100:2	i	PP(PP)	i
POwgd449_100:3	know	VVP(VVP)	know
POwgd449_100:4	_0	PA(PA)	
POwgd449_100:5	no	RE(RE)	no
POwgd449_100:6	i	PP(PP)	i
POwgd449_100:7	'm	VBP(VBP)	be
POwgd449_100:8	not	RB(RB)	not
POwgd449_100:9	_0	PA(PA)	
POwgd449_100:10	but	CC(CC)	but
POwgd449_100:11	they	PP(PP)	they
POwgd449_100:12	are	VBP(VBP)	be
POwgd449_100:13	acting	VVG(VVG)	act
POwgd449_100:14	you	PP(DM)	you
POwgd449_100:15	know	VVP(DM)	know
POwgd449_100:16	like	DM(DM)	like
POwgd449_100:17	er	UH(UH)	er
POwgd449_100:18	_0	PA(PA)	
POwgd449_100:19	it	PP(PP)	it
POwgd449_100:20	's	VBS(VBS)	be
POwgd449_100:21	such	PDT(PDT)	such
POwgd449_100:22	a	DT(DT)	a
POwgd449_100:23	big	JJ(JJ)	big
POwgd449_100:24	deal	NN(NN)	deal
POwgd449_100:25	_0	PA(PA)	
POwgd449_100:26	yesterday	RB(RB)	yesterday
POwgd449_100:27	i	PP(PP)	i
POwgd449_100:28	had	VHD(VHD)	have
POwgd449_100:29	to	TO(TO)	to
POwgd449_100:30	phone	VV(VV)	phone
POwgd449_100:31	someone	NN(NN)	someone
POwgd449_100:32	and	CC(CC)	and
POwgd449_100:33	tell	VV(VV)	tell
POwgd449_100:34	her	PP(PP)	she
POwgd449_100:35	take	VV(VV)	take
POwgd449_100:36	care	NN(NN)	care
POwgd449_100:37	of	IN(IN)	of
POwgd449_100:38	this	DT(DT)	this
POwgd449_100:39	people	NNS(NNS)	people
POwgd449_100:40	because	IN(IN)	because
POwgd449_100:41	_0	PA(PA)	
POwgd449_100:42	they	PP(PP)	they
POwgd449_100:43	need	VVP(VVP)	need
POwgd449_100:44	to	TO(TO)	to
POwgd449_100:45	go	VV(VV)	go
POwgd449_100:46	out	RB(RB)	out
POwgd449_100:47	_0	PA(PA)	
POwgd449_100:48	and	CC(CC)	and
POwgd449_100:49	have	VH(VH)	have
POwgd449_100:50	lunch	NN(NN)	lunch
POwgd449_100:51	and	CC(CC)	and
POwgd449_100:52	the	DT(DT)	the
POwgd449_100:53	the	DT(DT)	the
POwgd449_100:54	door	NN(NN)	door
POwgd449_100:55	will	MD(MD)	will
POwgd449_100:56	be	VB(VB)	be
POwgd449_100:57	open	JJ(JJ)	open
POwgd449_100:58	here	RB(RB)	here
POwgd449_100:59	_0	PA(PA)	
POwgd449_100:60	yeah	RE(RE)	yeah

POwgd449_101:1	ah	UH(UH)	ah

POwgd449_102:1	huh	UH(UH)	huh
POwgd449_102:2	er	UH(UH)	er
POwgd449_102:3	we	PP(PP)	we
POwgd449_102:4	do	VVP(VVP)	do
POwgd449_102:5	we	PP(PP)	we
POwgd449_102:6	have	VH(VH)	have
POwgd449_102:7	to	TO(TO)	to
POwgd449_102:8	go	VV(VV)	go
POwgd449_102:9	to	IN(IN)	to
POwgd449_102:10	_0	PA(PA)	
POwgd449_102:11	room	NN(NN)	room
POwgd449_102:12	number	NN(NN)	number
POwgd449_102:13	twelve	CD(CD)	twelve
POwgd449_102:14	_0	PA(PA)	
POwgd449_102:15	so	DM(DM)	so
POwgd449_102:16	yeah	RE(RE)	yeah
POwgd449_102:17	please	FI(FI)	please
POwgd449_102:18	because	IN(IN)	because
POwgd449_102:19	it	PP(PP)	it
POwgd449_102:20	's	VBS(VBS)	be
POwgd449_102:21	_0	PA(PA)	
POwgd449_102:22	the	DT(DT)	the
POwgd449_102:23	room	NN(NN)	room
POwgd449_102:24	of	IN(IN)	of
POwgd449_102:25	our	PP$(PP$)	we
POwgd449_102:26	it	PP(PP)	it
POwgd449_102:27	's	VBS(VBS)	be
POwgd449_102:28	our	PP$(PP$)	we
POwgd449_102:29	room	NN(NN)	room
POwgd449_102:30	_0	PA(PA)	
POwgd449_102:31	it	PP(PP)	it
POwgd449_102:32	can	MD(MD)	can
POwgd449_102:33	not	RB(RB)	not
POwgd449_102:34	be	VB(VB)	be
POwgd449_102:35	left	VVN(VVN)	leave
POwgd449_102:36	open	JJ(JJ)	open
POwgd449_102:37	_0	PA(PA)	
POwgd449_102:38	you	PP(DM)	you
POwgd449_102:39	know	VVP(DM)	know
POwgd449_102:40	but	CC(CC)	but
POwgd449_102:41	i	PP(PP)	i
POwgd449_102:42	could	MD(MD)	can
POwgd449_102:43	n't	RB(RB)	not
POwgd449_102:44	be	VB(VB)	be
POwgd449_102:45	with	IN(IN)	with
POwgd449_102:46	you	PP(PP)	you
POwgd449_102:47	and	CC(CC)	and
POwgd449_102:48	i	PP(PP)	i
POwgd449_102:49	had	VHD(VHD)	have
POwgd449_102:50	to	TO(TO)	to
POwgd449_102:51	extra	RB(RB)	extra
POwgd449_102:52	phone	VV(VV)	phone
POwgd449_102:53	them	PP(PP)	they
POwgd449_102:54	for	IN(IN)	for
POwgd449_102:55	this	DT(DT)	this

POwgd449_103:1	xxx	UNI(UNI)	

POwgd449_104:1	yeah	RE(RE)	yeah
POwgd449_104:2	i	PP(PP)	i
POwgd449_104:3	think	VVP(VVP)	think
POwgd449_104:4	they	PP(PP)	they
POwgd449_104:5	are	VBP(VBP)	be
POwgd449_104:6	completely	RB(RB)	completely
POwgd449_104:7	i	PP(PP)	i
POwgd449_104:8	do	VVP(VVP)	do
POwgd449_104:9	n't	RB(RB)	not
POwgd449_104:10	know	VV(VV)	know
POwgd449_104:11	why	WRB(WRB)	why

POwgd449_105:1	is	VBZ(VBZ)	be
POwgd449_105:2	this	DT(DT)	this
POwgd449_105:3	your	PP$(PP$)	you
POwgd449_105:4	administrative	JJ(JJ)	administrative
POwgd449_105:5	staff	NN(NN)	staff

POwgd449_106:1	yeah	RE(RE)	yeah
POwgd449_106:2	_0	PA(PA)	
POwgd449_106:3	yeah	RE(RE)	yeah
POwgd449_106:4	_3	PA(PA)	

POwgd449_107:1	it	PP(PP)	it
POwgd449_107:2	can	MD(MD)	can
POwgd449_107:3	happen	VV(VV)	happen
POwgd449_107:4	that	IN(IN)	that
POwgd449_107:5	you	PP(PP)	you
POwgd449_107:6	get	VVP(VVP)	get
POwgd449_107:7	people	NNS(NNS)	people
POwgd449_107:8	who	PRE(PRE)	who
POwgd449_107:9	are	VBP(VBP)	be
POwgd449_107:10	just	RB(RB)	just
POwgd449_107:11	very	RB(RB)	very
POwgd449_107:12	unhelpful	JJ(JJ)	unhelpful

POwgd449_108:1	yeah	RE(RE)	yeah
POwgd449_108:2	yeah	RE(RE)	yeah
POwgd449_108:3	_3	PA(PA)	

POwgd449_109:1	no	RE(RE)	no
POwgd449_109:2	_0	PA(PA)	
POwgd449_109:3	it	PP(PP)	it
POwgd449_109:4	's	VBS(VBS)	be
POwgd449_109:5	not	RB(RB)	not
POwgd449_109:6	easy	JJ(JJ)	easy
POwgd449_109:7	i	PP(PP)	i
POwgd449_109:8	have	VHP(VHP)	have
POwgd449_109:9	to	TO(TO)	to
POwgd449_109:10	say	VV(VV)	say

POwgd449_110:1	and	CC(CC)	and
POwgd449_110:2	we	PP(PP)	we
POwgd449_110:3	have	VHP(VHP)	have
POwgd449_110:4	all	PDT(PDT)	all
POwgd449_110:5	those	DT(DT)	those
POwgd449_110:6	carts	NNS(NNS)	cart
POwgd449_110:7	with	IN(IN)	with
POwgd449_110:8	food	NN(NN)	food
POwgd449_110:9	_0	PA(PA)	
POwgd449_110:10	the	DT(DT)	the
POwgd449_110:11	food	NN(NN)	food
POwgd449_110:12	was	VBD(VBD)	be
POwgd449_110:13	in	IN(IN)	in
POwgd449_110:14	the	DT(DT)	the
POwgd449_110:15	xx	UNI(UNI)	
POwgd449_110:16	_0	PA(PA)	
POwgd449_110:17	and	CC(CC)	and
POwgd449_110:18	i	PP(PP)	i
POwgd449_110:19	do	VVP(VVP)	do
POwgd449_110:20	n't	RB(RB)	not
POwgd449_110:21	want	VV(VV)	want
POwgd449_110:22	the	DT(DT)	the
POwgd449_110:23	carts	NNS(NNS)	cart
POwgd449_110:24	disappeared	VVN(VVN)	disappear
POwgd449_110:25	because	IN(IN)	because
POwgd449_110:26	i	PP(PP)	i
POwgd449_110:27	wanted	VVD(VVD)	want
POwgd449_110:28	i	PP(PP)	i
POwgd449_110:29	would	MD(MD)	will
POwgd449_110:30	have	VH(VH)	have
POwgd449_110:31	wanted	VVN(VVN)	want
POwgd449_110:32	both	DT(DT)	both
POwgd449_110:33	like	DM(DM)	like
POwgd449_110:34	a_[firstname1]	NP(NP)	
POwgd449_110:35	can	MD(MD)	can
POwgd449_110:36	do	VV(VV)	do
POwgd449_110:37	them	PP(PP)	they
POwgd449_110:38	i	PP(DM)	i
POwgd449_110:39	mean	VVP(DM)	mean
POwgd449_110:40	kind	JJ(JJ)	kind
POwgd449_110:41	but	CC(CC)	but
POwgd449_110:42	the	DT(DT)	the
POwgd449_110:43	carts	NNS(NNS)	cart
POwgd449_110:44	are	VBP(VBP)	be
POwgd449_110:45	very	RB(RB)	very
POwgd449_110:46	nice	JJ(JJ)	nice
POwgd449_110:47	and	CC(CC)	and
POwgd449_110:48	found	VVD(VVD)	find
POwgd449_110:49	and	CC(CC)	and
POwgd449_110:50	delicious	JJ(JJ)	delicious
POwgd449_110:51	_5	PA(PA)	

POwgd449_111:1	why	WRB(WRB)	why
POwgd449_111:2	they	PP(PP)	they
POwgd449_111:3	can	MD(MD)	can
POwgd449_111:4	say	VV(VV)	say
POwgd449_111:5	all	PDT(PDT)	all
POwgd449_111:6	this	DT(DT)	this
POwgd449_111:7	is	VBZ(VBZ)	be
POwgd449_111:8	that	IN(IN)	that
POwgd449_111:9	_0	PA(PA)	
POwgd449_111:10	you	PP(PP)	you
POwgd449_111:11	have	VHP(VHP)	have
POwgd449_111:12	all	PDT(PDT)	all
POwgd449_111:13	these	DT(DT)	these
POwgd449_111:14	things	NNS(NNS)	thing
POwgd449_111:15	that	PRE(PRE)	that
POwgd449_111:16	roll	VVP(VVP)	roll
POwgd449_111:17	about	RP(RP)	about
POwgd449_111:18	and	CC(CC)	and
POwgd449_111:19	let	VV(VV)	let
POwgd449_111:20	you	PP(PP)	you
POwgd449_111:21	know	VV(VV)	know
POwgd449_111:22	_0	PA(PA)	

POwgd449_112:1	yeah	RE(RE)	yeah
POwgd449_112:2	_2	PA(PA)	
POwgd449_112:3	yeah	RE(RE)	yeah

POwgd449_113:1	xxx	UNI(UNI)	
POwgd449_113:2	people	NNS(NNS)	people
POwgd449_113:3	_0	PA(PA)	
POwgd449_113:4	manage	VVP(VVP)	manage

POwgd449_114:1	yeah	RE(RE)	yeah
POwgd449_114:2	_0	PA(PA)	
POwgd449_114:3	and	CC(CC)	and
POwgd449_114:4	you	PP(PP)	you
POwgd449_114:5	were	VBD(VBD)	be
POwgd449_114:6	in	RB(RB)	in
POwgd449_114:7	before	RB(RB)	before
POwgd449_114:8	yeah	RE(RE)	yeah
POwgd449_114:9	_0	PA(PA)	
POwgd449_114:10	but	CC(CC)	but
POwgd449_114:11	the	DT(DT)	the
POwgd449_114:12	moment	NN(NN)	moment
POwgd449_114:13	we	PP(PP)	we
POwgd449_114:14	both	DT(DT)	both
POwgd449_114:15	changed	VVD(VVD)	change
POwgd449_114:16	in	IN(IN)	in
POwgd449_114:17	the	DT(DT)	the
POwgd449_114:18	bathroom	NN(NN)	bathroom
POwgd449_114:19	there	RB(RB)	there
POwgd449_114:20	and	CC(CC)	and
POwgd449_114:21	we	PP(PP)	we
POwgd449_114:22	were	VBD(VBD)	be
POwgd449_114:23	_0	PA(PA)	
POwgd449_114:24	like	IN(IN)	like
POwgd449_114:25	this	DT(DT)	this
POwgd449_114:26	and	CC(CC)	and
POwgd449_114:27	not	RB(RB)	not
POwgd449_114:28	talking	VVG(VVG)	talk
POwgd449_114:29	to	IN(IN)	to
POwgd449_114:30	each	NN(NN)	each
POwgd449_114:31	other	NN(NN)	other
POwgd449_114:32	but	CC(CC)	but
POwgd449_114:33	we	PP(PP)	we
POwgd449_114:34	were	VBD(VBD)	be
POwgd449_114:35	so	RB(RB)	so
POwgd449_114:36	determined	JJ(JJ)	determined
POwgd449_114:37	it	PP(PP)	it
POwgd449_114:38	was	VBD(VBD)	be
POwgd449_114:39	like	DM(DM)/IN(IN)	like
POwgd449_114:40	you	PP(DM)	you
POwgd449_114:41	know	VVP(DM)	know
POwgd449_114:42	_1	PA(PA)	
POwgd449_114:43	xx	UNI(UNI)	
POwgd449_114:44	x	UNI(UNI)	
POwgd449_114:45	xx	UNI(UNI)	
POwgd449_114:46	_0	PA(PA)	
POwgd449_114:47	now	RB(RB)	now
POwgd449_114:48	they	PP(PP)	they
POwgd449_114:49	go	VVP(VVP)	go
POwgd449_114:50	for	IN(IN)	for
POwgd449_114:51	it	PP(PP)	it
POwgd449_114:52	you	PP(DM)	you
POwgd449_114:53	know	VVP(DM)	know
POwgd449_114:54	it	PP(PP)	it
POwgd449_114:55	was	VBD(VBD)	be
POwgd449_114:56	so	RB(RB)	so
POwgd449_114:57	crazy	JJ(JJ)	crazy
POwgd449_114:58	and	CC(CC)	and
POwgd449_114:59	we	PP(PP)	we
POwgd449_114:60	kept	VVD(VVD)	keep
POwgd449_114:61	laughing	VVG(VVG)	laugh
POwgd449_114:62	and	CC(CC)	and
POwgd449_114:63	doing	VVG(VVG)	do
POwgd449_114:64	stuff	NN(NN)	stuff
POwgd449_114:65	they	PP(PP)	they
POwgd449_114:66	hear	VVP(VVP)	hear
POwgd449_114:67	no	RE(RE)	no
POwgd449_114:68	it	PP(PP)	it
POwgd449_114:69	was	VBD(VBD)	be
POwgd449_114:70	so	RB(RB)	so
POwgd449_114:71	crazy	JJ(JJ)	crazy
POwgd449_114:72	@	LA(LA)	

POwgd449_115:1	so	DM(DM)	so
POwgd449_115:2	xx	UNI(UNI)	
POwgd449_115:3	amazes	VVZ(VVZ)	amaze
POwgd449_115:4	me	PP(PP)	i
POwgd449_115:5	about	IN(IN)	about
POwgd449_115:6	all	DT(DT)	all
POwgd449_115:7	of	IN(IN)	of
POwgd449_115:8	these	DT(DT)	these
POwgd449_115:9	projects	NNS(NNS)	project
POwgd449_115:10	is	VBZ(VBZ)	be
POwgd449_115:11	you	PP(PP)	you
POwgd449_115:12	think	VVP(VVP)	think
POwgd449_115:13	_0	PA(PA)	
POwgd449_115:14	no	NN(NN)	no
POwgd449_115:15	one	NN(NN)	one
POwgd449_115:16	is	VBZ(VBZ)	be
POwgd449_115:17	going	VVG(VVG)	go
POwgd449_115:18	to	TO(TO)	to
POwgd449_115:19	come	VV(VV)	come
POwgd449_115:20	to	IN(IN)	to
POwgd449_115:21	this	DT(DT)	this

POwgd449_116:1	yeah	RE(RE)	yeah

POwgd449_117:1	and	CC(CC)	and
POwgd449_117:2	especially	RB(RB)	especially
POwgd449_117:3	xx	UNI(UNI)	
POwgd449_117:4	no	NN(NN)	no
POwgd449_117:5	one	NN(NN)	one
POwgd449_117:6	's	VBS(VBS)	be
POwgd449_117:7	going	VVG(VVG)	go
POwgd449_117:8	to	TO(TO)	to
POwgd449_117:9	come	VV(VV)	come
POwgd449_117:10	to	IN(IN)	to
POwgd449_117:11	this	DT(DT)	this
POwgd449_117:12	_0	PA(PA)	
POwgd449_117:13	so	DM(DM)	so
POwgd449_117:14	you	PP(PP)	you
POwgd449_117:15	think	VVP(VVP)	think
POwgd449_117:16	_0	PA(PA)	
POwgd449_117:17	you	PP(DM)	you
POwgd449_117:18	know	VVP(DM)	know
POwgd449_117:19	and	CC(CC)	and
POwgd449_117:20	then	RB(RB)	then
POwgd449_117:21	you	PP(PP)	you
POwgd449_117:22	think	VVP(VVP)	think
POwgd449_117:23	oh	UH(UH)	oh
POwgd449_117:24	we	PP(PP)	we
POwgd449_117:25	do	VVP(VVP)	do
POwgd449_117:26	n't	RB(RB)	not
POwgd449_117:27	want	VV(VV)	want
POwgd449_117:28	to	TO(TO)	to
POwgd449_117:29	come	VV(VV)	come
POwgd449_117:30	to	IN(IN)	to
POwgd449_117:31	this	DT(DT)	this

POwgd449_118:1	yeah	RE(RE)	yeah
POwgd449_118:2	yeah	RE(RE)	yeah

POwgd449_119:1	we	PP(PP)	we
POwgd449_119:2	do	VVP(VVP)	do
POwgd449_119:3	do	VVP(VVP)	do
POwgd449_119:4	n't	RB(RB)	not
POwgd449_119:5	go	VV(VV)	go
POwgd449_119:6	away	RB(RB)	away

POwgd449_120:1	yeah	RE(RE)	yeah
POwgd449_120:2	yeah	RE(RE)	yeah

POwgd449_121:1	i	PP(DM)	i
POwgd449_121:2	mean	VVP(DM)	mean
POwgd449_121:3	think	VV(VV)	think
POwgd449_121:4	about	IN(IN)	about
POwgd449_121:5	all	PDT(PDT)	all
POwgd449_121:6	these	DT(DT)	these
POwgd449_121:7	people	NNS(NNS)	people
POwgd449_121:8	you	PP(PP)	you
POwgd449_121:9	say	VVP(VVP)	say
POwgd449_121:10	you	PP(PP)	you
POwgd449_121:11	have	VHP(VHP)	have
POwgd449_121:12	a	DT(DT)	a
POwgd449_121:13	lot	NN(NN)	lot
POwgd449_121:14	of	IN(IN)	of
POwgd449_121:15	people	NNS(NNS)	people
POwgd449_121:16	there	RB(RB)	there
POwgd449_121:17	and	CC(CC)	and
POwgd449_121:18	and	CC(CC)	and
POwgd449_121:19	i	PP(PP)	i
POwgd449_121:20	tell	VVP(VVP)	tell
POwgd449_121:21	you	PP(PP)	you
POwgd449_121:22	lot	NN(NN)	lot
POwgd449_121:23	of	IN(IN)	of
POwgd449_121:24	people	NNS(NNS)	people
POwgd449_121:25	stay	VVP(VVP)	stay
POwgd449_121:26	till	IN(IN)	till
POwgd449_121:27	the	DT(DT)	the
POwgd449_121:28	end	NN(NN)	end
POwgd449_121:29	_0	PA(PA)	

POwgd449_122:1	yeah	RE(RE)	yeah
POwgd449_122:2	yeah	RE(RE)	yeah
POwgd449_122:3	they	PP(PP)	they
POwgd449_122:4	do	VVP(VVP)	do
POwgd449_122:5	n't	RB(RB)	not
POwgd449_122:6	wan	VV(VV)	want
POwgd449_122:7	na	TO(TO)	to
POwgd449_122:8	go	VV(VV)	go
POwgd449_122:9	you	PP(DM)	you
POwgd449_122:10	know	VVP(DM)	know
POwgd449_122:11	and	CC(CC)	and
POwgd449_122:12	_0	PA(PA)	
POwgd449_122:13	he	PP(PP)	he
POwgd449_122:14	was	VBD(VBD)	be
POwgd449_122:15	_0	PA(PA)	
POwgd449_122:16	quite	JJ(JJ)	quite
POwgd449_122:17	about	IN(IN)	about
POwgd449_122:18	this	DT(DT)	this
POwgd449_122:19	because	IN(IN)	because
POwgd449_122:20	then	RB(RB)	then
POwgd449_122:21	we	PP(PP)	we
POwgd449_122:22	had	VHD(VHD)	have
POwgd449_122:23	to	TO(TO)	to
POwgd449_122:24	put	VV(VV)	put
POwgd449_122:25	everything	NN(NN)	everything
POwgd449_122:26	back	RB(RB)	back
POwgd449_122:27	together	RB(RB)	together
POwgd449_122:28	and	CC(CC)	and
POwgd449_122:29	we	PP(PP)	we
POwgd449_122:30	saw	VVD(VVD)	see
POwgd449_122:31	it	PP(PP)	it
POwgd449_122:32	took	VVD(VVD)	take
POwgd449_122:33	us	PP(PP)	we
POwgd449_122:34	a	DT(DT)	a
POwgd449_122:35	lot	NN(NN)	lot
POwgd449_122:36	of	IN(IN)	of
POwgd449_122:37	time	NN(NN)	time
POwgd449_122:38	and	CC(CC)	and
POwgd449_122:39	we	PP(PP)	we
POwgd449_122:40	had	VHD(VHD)	have
POwgd449_122:41	all	PDT(PDT)	all
POwgd449_122:42	those	DT(DT)	those
POwgd449_122:43	staff	NN(NN)	staff
POwgd449_122:44	_0	PA(PA)	

POwgd449_123:1	but	CC(CC)	but
POwgd449_123:2	this	DT(DT)	this
POwgd449_123:3	is	VBZ(VBZ)	be
POwgd449_123:4	what	WP(WP)	what
POwgd449_123:5	the	DT(DT)	the
POwgd449_123:6	journal	NN(NN)	journal
POwgd449_123:7	_0	PA(PA)	
POwgd449_123:8	it	PP(PP)	it
POwgd449_123:9	's	VBS(VBS)	be
POwgd449_123:10	it	PP(PP)	it
POwgd449_123:11	's	VBS(VBS)	be
POwgd449_123:12	very	RB(RB)	very
POwgd449_123:13	important	JJ(JJ)	important
POwgd449_123:14	you	PP(PP)	you
POwgd449_123:15	say	VVP(VVP)	say
POwgd449_123:16	_0	PA(PA)	

POwgd449_124:1	yeah	RE(RE)	yeah

POwgd449_125:1	yeah	RE(RE)	yeah

POwgd449_126:1	it	PP(PP)	it
POwgd449_126:2	was	VBD(VBD)	be
POwgd449_126:3	in	IN(IN)	in
POwgd449_126:4	too	RB(RB)	too
POwgd449_126:5	_0	PA(PA)	

POwgd449_127:1	yeah	RE(RE)	yeah

POwgd449_128:1	too	RB(RB)	too
POwgd449_128:2	identical	JJ(JJ)	identical

POwgd449_129:1	and	CC(CC)	and
POwgd449_129:2	also	RB(RB)	also
POwgd449_129:3	on	IN(IN)	on
POwgd449_129:4	the	DT(DT)	the
POwgd449_129:5	home	NN(NN)	home
POwgd449_129:6	page	NN(NN)	page
POwgd449_129:7	on	IN(IN)	on
POwgd449_129:8	our	PP$(PP$)	we
POwgd449_129:9	home	NN(NN)	home
POwgd449_129:10	page	NN(NN)	page
POwgd449_129:11	it	PP(PP)	it
POwgd449_129:12	's	VBS(VBS)	be
POwgd449_129:13	advertised	VVN(VVN)	advertise
POwgd449_129:14	like	DM(DM)	like
POwgd449_129:15	_0	PA(PA)	
POwgd449_129:16	exactly	RB(RB)	exactly
POwgd449_129:17	five	CD(CD)	five
POwgd449_129:18	to	IN(IN)	to
POwgd449_129:19	eight	CD(CD)	eight

POwgd449_130:1	yeah	RE(RE)	yeah

POwgd449_131:1	and	CC(CC)	and
POwgd449_131:2	that	DT(DT)	that
POwgd449_131:3	's	VBS(VBS)	be
POwgd449_131:4	it	PP(PP)	it

POwgd449_132:1	they	PP(PP)	they
POwgd449_132:2	did	VVD(VVD)	do
POwgd449_132:3	the	DT(DT)	the
POwgd449_132:4	same	NN(NN)	same
POwgd449_132:5	with	IN(IN)	with

POwgd449_133:1	yeah	RE(RE)	yeah

POwgd449_134:1	inventing	VVG(VVG)	invent
POwgd449_134:2	the	DT(DT)	the
POwgd449_134:3	xx	UNI(UNI)	
POwgd449_134:4	_0	PA(PA)	
POwgd449_134:5	cos	IN(IN)	cos
POwgd449_134:6	when	WRB(WRB)	when
POwgd449_134:7	you	PP(PP)	you
POwgd449_134:8	have	VHP(VHP)	have
POwgd449_134:9	an	DT(DT)	a
POwgd449_134:10	open	JJ(JJ)	open
POwgd449_134:11	event	NN(NN)	event
POwgd449_134:12	like	IN(IN)	like
POwgd449_134:13	that	DT(DT)	that
POwgd449_134:14	you	PP(PP)	you
POwgd449_134:15	need	VVP(VVP)	need
POwgd449_134:16	to	TO(TO)	to
POwgd449_134:17	make	VV(VV)	make
POwgd449_134:18	sure	JJ(JJ)	sure
POwgd449_134:19	all	PDT(PDT)	all
POwgd449_134:20	the	DT(DT)	the
POwgd449_134:21	people	NNS(NNS)	people

POwgd449_135:1	they	PP(PP)	they
POwgd449_135:2	will	MD(MD)	will
POwgd449_135:3	go	VV(VV)	go
POwgd449_135:4	some	DT(DT)	some
POwgd449_135:5	time	NN(NN)	time
POwgd449_135:6	yeah	RE(RE)	yeah
POwgd449_135:7	_5	PA(PA)	

POwgd449_136:1	one	CD(CD)	one
POwgd449_136:2	thing	NN(NN)	thing
POwgd449_136:3	as	RB(RB)	as
POwgd449_136:4	well	RB(RB)	well
POwgd449_136:5	_0	PA(PA)	
POwgd449_136:6	but	CC(CC)	but
POwgd449_136:7	_3	PA(PA)	
POwgd449_136:8	thinking	VVG(VVG)	think
POwgd449_136:9	about	IN(IN)	about
POwgd449_136:10	are	VBP(VBP)	be
POwgd449_136:11	you	PP(PP)	you
POwgd449_136:12	thinking	VVG(VVG)	think
POwgd449_136:13	about	IN(IN)	about
POwgd449_136:14	the	DT(DT)	the
POwgd449_136:15	food	NN(NN)	food
POwgd449_136:16	as	RB(RB)	as
POwgd449_136:17	well	RB(RB)	well
POwgd449_136:18	i	PP(PP)	i
POwgd449_136:19	forgot	VVD(VVD)	forget
POwgd449_136:20	to	TO(TO)	to
POwgd449_136:21	mention	VV(VV)	mention
POwgd449_136:22	that	DT(DT)	that
POwgd449_136:23	i	PP(DM)	i
POwgd449_136:24	mean	VVP(DM)	mean
POwgd449_136:25	in	IN(IN)	in
POwgd449_136:26	the	DT(DT)	the
POwgd449_136:27	organization	NN(NN)	organization

POwgd449_137:1	i	PP(PP)	i
POwgd449_137:2	know	VVP(VVP)	know
POwgd449_137:3	_0	PA(PA)	

POwgd449_138:1	just	RB(RB)	just
POwgd449_138:2	_0	PA(PA)	
POwgd449_138:3	thinking	VVG(VVG)	think
POwgd449_138:4	about	IN(IN)	about
POwgd449_138:5	the	DT(DT)	the
POwgd449_138:6	role	NN(NN)	role
POwgd449_138:7	of	IN(IN)	of
POwgd449_138:8	the	DT(DT)	the
POwgd449_138:9	food	NN(NN)	food
POwgd449_138:10	_1	PA(PA)	
POwgd449_138:11	because	IN(IN)	because
POwgd449_138:12	_0	PA(PA)	
POwgd449_138:13	how	WRB(WRB)	how
POwgd449_138:14	much	JJ(JJ)	much
POwgd449_138:15	_0	PA(PA)	

POwgd449_139:1	yeah	RE(RE)	yeah
POwgd449_139:2	yeah	RE(RE)	yeah
POwgd449_139:3	yeah	RE(RE)	yeah

POwgd449_140:1	that	DT(DT)	that
POwgd449_140:2	contributed	VVD(VVD)	contribute
POwgd449_140:3	i	PP(PP)	i
POwgd449_140:4	forgot	VVD(VVD)	forget
POwgd449_140:5	_2	PA(PA)	
POwgd449_140:6	you	PP(DM)	you
POwgd449_140:7	know	VVP(DM)	know
POwgd449_140:8	if	IN(IN)	if
POwgd449_140:9	you	PP(PP)	you
POwgd449_140:10	if	IN(IN)	if
POwgd449_140:11	you	PP(PP)	you
POwgd449_140:12	put	VVP(VVP)	put
POwgd449_140:13	food	NN(NN)	food
POwgd449_140:14	at	IN(IN)	at
POwgd449_140:15	the	DT(DT)	the
POwgd449_140:16	center	NN(NN)	center
POwgd449_140:17	of	IN(IN)	of
POwgd449_140:18	it	PP(PP)	it
POwgd449_140:19	_2	PA(PA)	

POwgd449_141:1	well	DM(DM)	well
POwgd449_141:2	it	PP(PP)	it
POwgd449_141:3	's	VBS(VBS)	be
POwgd449_141:4	well	DM(DM)/RB(RB)	well
