POprc465_1:1	xx	UNI(UNI)	
POprc465_5:99	that	IN(IN)	that
POprc465_5:100	er	UH(UH)	er
POprc465_5:101	_0	PA(PA)	
POprc465_5:102	serbia	NP(NP)	serbia
POprc465_5:103	is	VBZ(VBZ)	be
POprc465_5:104	on	IN(IN)	on
POprc465_5:105	the	DT(DT)	the
POprc465_5:106	right	JJ(JJ)	right
POprc465_5:107	path	NN(NN)	path
POprc465_5:108	to	IN(IN)/TO(TO)	to
POprc465_5:109	m-	XX(XX)	
POprc465_5:110	er	UH(UH)	er
POprc465_5:111	in	IN(IN)	in
POprc465_5:112	its	PP$(PP$)	it
POprc465_5:113	reforms	NNS(NNS)	reform
POprc465_5:114	its	PP$(PP$)	it
POprc465_5:115	er	UH(UH)	er
POprc465_5:116	_0	PA(PA)	
POprc465_5:117	its	PP$(PP$)	it
POprc465_5:118	european	JJ(JJ)	european
POprc465_5:119	orientation	NN(NN)	orientation
POprc465_5:120	_0	PA(PA)	
POprc465_5:121	it	PP(PP)	it
POprc465_5:122	is	VBZ(VBZ)	be
POprc465_5:123	_0	PA(PA)	
POprc465_5:124	support	NN(NN)/V(VVN)	support
POprc465_5:125	by	IN(IN)	by
POprc465_5:126	european	NP(NP)	european
POprc465_5:127	union	NP(NP)	union
POprc465_5:128	_0	PA(PA)	
POprc465_5:129	er	UH(UH)	er
POprc465_5:130	our	PP$(PP$)	we
POprc465_5:131	negotiations	NNS(NNS)	negotiation
POprc465_5:132	had	VHD(VHD)	have
POprc465_5:133	been	VBN(VBN)	be
POprc465_5:134	er	UH(UH)	er
POprc465_5:135	called	VVN(VVN)	call
POprc465_5:136	off	RP(RP)	off
POprc465_5:137	_0	PA(PA)	
POprc465_5:138	because	IN(IN)	because
POprc465_5:139	of	IN(IN)	of
POprc465_5:140	the	DT(DT)	the
POprc465_5:141	lack	NN(NN)	lack
POprc465_5:142	of	IN(IN)	of
POprc465_5:143	the	DT(DT)	the
POprc465_5:144	full	JJ(JJ)	full
POprc465_5:145	cooperation	NN(NN)	cooperation
POprc465_5:146	with	IN(IN)	with
POprc465_5:147	the	DT(DT)	the
POprc465_5:148	icty	NP(NP)	icty
POprc465_5:149	_0	PA(PA)	
POprc465_5:150	and	CC(CC)	and
POprc465_5:151	er	UH(UH)	er
POprc465_5:152	we	PP(PP)	we
POprc465_5:153	had	VHD(VHD)	have
POprc465_5:154	tried	VVN(VVN)	try
POprc465_5:155	trog-	XX(XX)	
POprc465_5:156	together	RB(RB)	together
POprc465_5:157	in	IN(IN)	in
POprc465_5:158	partnership	NN(NN)	partnership
POprc465_5:159	mood	NN(NN)	mood
POprc465_5:160	to	TO(TO)	to
POprc465_5:161	overcome	VV(VV)	overcome
POprc465_5:162	this	DT(DT)	this
POprc465_5:163	er	UH(UH)	er
POprc465_5:164	er	UH(UH)	er
POprc465_5:165	hurdle	NN(NN)/VV(VV)	hurdle
POprc465_5:166	this	DT(DT)	this
POprc465_5:167	obstacle	NN(NN)	obstacle
POprc465_5:168	_0	PA(PA)	
POprc465_5:169	er	UH(UH)	er
POprc465_5:170	in	IN(IN)	in
POprc465_5:171	working	VVG(VVG)	work
POprc465_5:172	out	RP(RP)	out
POprc465_5:173	together	RB(RB)	together
POprc465_5:174	action	NN(NN)	action
POprc465_5:175	plan	NN(NN)	plan
POprc465_5:176	_0	PA(PA)	
POprc465_5:177	er	UH(UH)	er
POprc465_5:178	er	UH(UH)	er
POprc465_5:179	that	DT(DT)	that
POprc465_5:180	will	MD(MD)	will
POprc465_5:181	enable	VV(VV)	enable
POprc465_5:182	full	JJ(JJ)	full
POprc465_5:183	cooperation	NN(NN)	cooperation
POprc465_5:184	with	IN(IN)	with
POprc465_5:185	the	DT(DT)	the
POprc465_5:186	icty	NP(NP)	icty
POprc465_5:187	_0	PA(PA)	
POprc465_5:188	and	CC(CC)	and
POprc465_5:189	that	DT(DT)	that
POprc465_5:190	will	MD(MD)	will
POprc465_5:191	enable	VV(VV)	enable
POprc465_5:192	er	UH(UH)	er
POprc465_5:193	negotiations	NNS(NNS)	negotiation
POprc465_5:194	for	IN(IN)	for
POprc465_5:195	s_saa	NP(NP)	s_saa
POprc465_5:196	to	TO(TO)	to
POprc465_5:197	be	VB(VB)	be
POprc465_5:198	continued	VVN(VVN)	continue
POprc465_5:199	hh	BR(BR)	
POprc465_5:200	i	PP(PP)	i
POprc465_5:201	'm	VBP(VBP)	be
POprc465_5:202	more	JJR(JJR)	more
POprc465_5:203	than	IN(IN)	than
POprc465_5:204	satisfied	JJ(JJ)	satisfied
POprc465_5:205	with	IN(IN)	with
POprc465_5:206	er	UH(UH)	er
POprc465_5:207	the	DT(DT)	the
POprc465_5:208	discussion	NN(NN)	discussion
POprc465_5:209	that	PRE(PRE)	that
POprc465_5:210	we	PP(PP)	we
POprc465_5:211	had	VHD(VHD)	have
POprc465_5:212	today	RB(RB)	today
POprc465_5:213	_0	PA(PA)	
POprc465_5:214	i	PP(PP)	i
POprc465_5:215	'm	VBP(VBP)	be
POprc465_5:216	more	JJR(JJR)	more
POprc465_5:217	than	IN(IN)	than
POprc465_5:218	this	DT(DT)	this
POprc465_5:219	er	UH(UH)	er
POprc465_5:220	satisfied	JJ(JJ)	satisfied
POprc465_5:221	with	IN(IN)	with
POprc465_5:222	er	UH(UH)	er
POprc465_5:223	support	NN(NN)	support
POprc465_5:224	and	CC(CC)	and
POprc465_5:225	encouragement	NN(NN)	encouragement
POprc465_5:226	that	PRE(PRE)	that
POprc465_5:227	it	PP(PP)	it
POprc465_5:228	we	PP(PP)	we
POprc465_5:229	got	VVD(VVD)	get
POprc465_5:230	_0	PA(PA)	
POprc465_5:231	i	PP(PP)	i
POprc465_5:232	'm	VBP(VBP)	be
POprc465_5:233	more	JJR(JJR)	more
POprc465_5:234	than	IN(IN)	than
POprc465_5:235	satisfied	JJ(JJ)	satisfied
POprc465_5:236	with	IN(IN)	with
POprc465_5:237	estimation	NN(NN)	estimation
POprc465_5:238	that	IN(IN)	that
POprc465_5:239	it	PP(PP)	it
POprc465_5:240	is	VBZ(VBZ)	be
POprc465_5:241	not	RB(RB)	not
POprc465_5:242	possible	JJ(JJ)	possible
POprc465_5:243	to	TO(TO)	to
POprc465_5:244	imagine	VV(VV)	imagine
POprc465_5:245	_0	PA(PA)	
POprc465_5:246	europ-	XX(XX)	
POprc465_5:247	-ean	XX(XX)	
POprc465_5:248	union	NP(NP)	union
POprc465_5:249	tomorrow	RB(RB)	tomorrow
POprc465_5:250	without	IN(IN)	without
POprc465_5:251	serbia	NP(NP)	serbia
POprc465_5:252	being	VBG(VBG)	be
POprc465_5:253	its	PP$(PP$)	it
POprc465_5:254	part	NN(NN)	part
POprc465_5:255	because	IN(IN)	because
POprc465_5:256	of	IN(IN)	of
POprc465_5:257	its	PP$(PP$)	it
POprc465_5:258	very	RB(RB)	very
POprc465_5:259	important	JJ(JJ)	important
POprc465_5:260	_0	PA(PA)	
POprc465_5:261	role	NN(NN)	role
POprc465_5:262	as	IN(IN)	as
POprc465_5:263	a	DT(DT)	a
POprc465_5:264	factor	NN(NN)	factor
POprc465_5:265	of	IN(IN)	of
POprc465_5:266	stability	NN(NN)	stability
POprc465_5:267	_0	PA(PA)	
POprc465_5:268	in	IN(IN)	in
POprc465_5:269	the	DT(DT)	the
POprc465_5:270	western	JJ(JJ)	western
POprc465_5:271	balkans	NPS(NPS)	balkan
POprc465_5:272	hh	BR(BR)	
POprc465_5:273	er	UH(UH)	er
POprc465_5:274	we	PP(PP)	we
POprc465_5:275	discussed	VVD(VVD)	discuss
POprc465_5:276	in	IN(IN)	in
POprc465_5:277	detail	NN(NN)	detail
POprc465_5:278	_0	PA(PA)	
POprc465_5:279	the	DT(DT)	the
POprc465_5:280	action	NN(NN)	action
POprc465_5:281	plan	NN(NN)	plan
POprc465_5:282	_0	PA(PA)	
POprc465_5:283	er	UH(UH)	er
POprc465_5:284	we	PP(PP)	we
POprc465_5:285	had	VHD(VHD)	have
POprc465_5:286	previously	RB(RB)	previously
POprc465_5:287	changed	VVN(VVN)	change
POprc465_5:288	opinions	NNS(NNS)	opinion
POprc465_5:289	about	IN(IN)	about
POprc465_5:290	the	DT(DT)	the
POprc465_5:291	content	NN(NN)	content
POprc465_5:292	of	IN(IN)	of
POprc465_5:293	this	DT(DT)	this
POprc465_5:294	plan	NN(NN)	plan
POprc465_5:295	with	IN(IN)	with
POprc465_5:296	the	DT(DT)	the
POprc465_5:297	icty	NP(NP)	icty
POprc465_5:298	with	IN(IN)	with
POprc465_5:299	er	UH(UH)	er
POprc465_5:300	general	JJ(JJ)	general
POprc465_5:301	prosecutor	NN(NN)	prosecutor
POprc465_5:302	of	IN(IN)	of
POprc465_5:303	the	DT(DT)	the
POprc465_5:304	icty	NP(NP)	icty
POprc465_5:305	_0	PA(PA)	
POprc465_5:306	and	CC(CC)	and
POprc465_5:307	we	PP(PP)	we
POprc465_5:308	do	VVP(VVP)	do
POprc465_5:309	think	VV(VV)	think
POprc465_5:310	that	IN(IN)	that
POprc465_5:311	er	UH(UH)	er
POprc465_5:312	this	DT(DT)	this
POprc465_5:313	plan	NN(NN)	plan
POprc465_5:314	that	IN(IN)	that
POprc465_5:315	we	PP(PP)	we
POprc465_5:316	_0	PA(PA)	
POprc465_5:317	are	VBP(VBP)	be
POprc465_5:318	going	VVG(VVG)	go
POprc465_5:319	to	TO(TO)	to
POprc465_5:320	work	VV(VV)	work
POprc465_5:321	together	RB(RB)	together
POprc465_5:322	on	IN(IN)	on
POprc465_5:323	_0	PA(PA)	
POprc465_5:324	er	UH(UH)	er
POprc465_5:325	is	VBZ(VBZ)	be
POprc465_5:326	something	NN(NN)	something
POprc465_5:327	that	PRE(PRE)	that
POprc465_5:328	will	MD(MD)	will
POprc465_5:329	enable	VV(VV)	enable
POprc465_5:330	serbia	NP(NP)	serbia
POprc465_5:331	_0	PA(PA)	
POprc465_5:332	to	TO(TO)	to
POprc465_5:333	continue	VV(VV)	continue
POprc465_5:334	_0	PA(PA)	
POprc465_5:335	the	DT(DT)	the
POprc465_5:336	negotiations	NNS(NNS)	negotiation
POprc465_5:337	_0	PA(PA)	
POprc465_5:338	in	IN(IN)	in
POprc465_5:339	the	DT(DT)	the
POprc465_5:340	plan	NN(NN)	plan
POprc465_5:341	_0	PA(PA)	
POprc465_5:342	something	NN(NN)	something
POprc465_5:343	that	PRE(PRE)	that
POprc465_5:344	is	VBZ(VBZ)	be
POprc465_5:345	er	UH(UH)	er
POprc465_5:346	new	JJ(JJ)	new
POprc465_5:347	and	CC(CC)	and
POprc465_5:348	important	JJ(JJ)	important
POprc465_5:349	in	IN(IN)	in
POprc465_5:350	the	DT(DT)	the
POprc465_5:351	plan	NN(NN)	plan
POprc465_5:352	is	VBZ(VBZ)	be
POprc465_5:353	hh	BR(BR)	
POprc465_5:354	that	IN(IN)	that
POprc465_5:355	there	EX(EX)	there
POprc465_5:356	is	VBZ(VBZ)	be
POprc465_5:357	er	UH(UH)	er
POprc465_5:358	full	JJ(JJ)	full
POprc465_5:359	and	CC(CC)	and
POprc465_5:360	transparent	JJ(JJ)	transparent
POprc465_5:361	cooperation	NN(NN)	cooperation
POprc465_5:362	between	IN(IN)	between
POprc465_5:363	authorities	NNS(NNS)	authority
POprc465_5:364	in	IN(IN)	in
POprc465_5:365	belgrade	NP(NP)	belgrade
POprc465_5:366	and	CC(CC)	and
POprc465_5:367	the	DT(DT)	the
POprc465_5:368	hague	NP(NP)	hague
POprc465_5:369	tribunal	NP(NP)	tribunal
POprc465_5:370	_0	PA(PA)	
POprc465_5:371	particular	JJ(JJ)	particular
POprc465_5:372	general	JJ(JJ)	general
POprc465_5:373	prosecutor	NN(NN)	prosecutor
POprc465_5:374	hh	BR(BR)	
POprc465_5:375	that	IN(IN)	that
POprc465_5:376	on	IN(IN)	on
POprc465_5:377	the	DT(DT)	the
POprc465_5:378	other	JJ(JJ)	other
POprc465_5:379	hand	NN(NN)	hand
POprc465_5:380	what	WP(WP)	what
POprc465_5:381	is	VBZ(VBZ)	be
POprc465_5:382	enabled	VVN(VVN)	enable
POprc465_5:383	is	VBZ(VBZ)	be
POprc465_5:384	also	RB(RB)	also
POprc465_5:385	full	JJ(JJ)	full
POprc465_5:386	cooperation	NN(NN)	cooperation
POprc465_5:387	of	IN(IN)	of
POprc465_5:388	er	UH(UH)	er
POprc465_5:389	our	PP$(PP$)	we
POprc465_5:390	services	NNS(NNS)	service
POprc465_5:391	through	IN(IN)	through
POprc465_5:392	_0	PA(PA)	
POprc465_5:393	coordinator	NN(NN)	coordinator
POprc465_5:394	or	CC(CC)	or
POprc465_5:395	coordinators	NNS(NNS)	coordinator
POprc465_5:396	that	PRE(PRE)	that
POprc465_5:397	are	VBP(VBP)	be
POprc465_5:398	going	VVG(VVG)	go
POprc465_5:399	to	TO(TO)	to
POprc465_5:400	hh	BR(BR)	
POprc465_5:401	deal	VV(VV)	deal
POprc465_5:402	with	IN(IN)	with
POprc465_5:403	that	DT(DT)	that
POprc465_5:404	and	CC(CC)	and
POprc465_5:405	directly	RB(RB)	directly
POprc465_5:406	to	TO(TO)	to
POprc465_5:407	er	UH(UH)	er
POprc465_5:408	cooperate	VV(VV)	cooperate
POprc465_5:409	with	IN(IN)	with
POprc465_5:410	the	DT(DT)	the
POprc465_5:411	_0	PA(PA)	
POprc465_5:412	icty	NP(NP)	icty
POprc465_5:413	_0	PA(PA)	
POprc465_5:414	er	UH(UH)	er
POprc465_5:415	and	CC(CC)	and
POprc465_5:416	er	UH(UH)	er
POprc465_5:417	its	PP$(PP$)	it
POprc465_5:418	er	UH(UH)	er
POprc465_5:419	general	JJ(JJ)	general
POprc465_5:420	prosecutor	NN(NN)	prosecutor
POprc465_5:421	hh	BR(BR)	
POprc465_5:422	er	UH(UH)	er
POprc465_5:423	_0	PA(PA)	
POprc465_5:424	i	PP(PP)	i
POprc465_5:425	think	VVP(VVP)	think
POprc465_5:426	that	IN(IN)	that
POprc465_5:427	er	UH(UH)	er
POprc465_5:428	with	IN(IN)	with
POprc465_5:429	er	UH(UH)	er
POprc465_5:430	the	DT(DT)	the
POprc465_5:431	action	NN(NN)	action
POprc465_5:432	plan	NN(NN)	plan
POprc465_5:433	as	IN(IN)	as
POprc465_5:434	it	PP(PP)	it
POprc465_5:435	looks	VVZ(VVZ)	look
POprc465_5:436	like	IN(IN)	like
POprc465_5:437	now	RB(RB)	now
POprc465_5:438	_0	PA(PA)	
POprc465_5:439	er	UH(UH)	er
POprc465_5:440	er	UH(UH)	er
POprc465_5:441	we	PP(PP)	we
POprc465_5:442	should	MD(MD)	shall
POprc465_5:443	be	VB(VB)	be
POprc465_5:444	more	RBR(RBR)	more
POprc465_5:445	than	IN(IN)	than
POprc465_5:446	optimistic	JJ(JJ)	optimistic
POprc465_5:447	about	IN(IN)	about
POprc465_5:448	er	UH(UH)	er
POprc465_5:449	_0	PA(PA)	
POprc465_5:450	er	UH(UH)	er
POprc465_5:451	further	JJR(JJR)	far
POprc465_5:452	_0	PA(PA)	
POprc465_5:453	european	JJ(JJ)	european
POprc465_5:454	or	CC(CC)	or
POprc465_5:455	s_eu	NP(NP)	s_eu
POprc465_5:456	steps	NNS(NNS)	step
POprc465_5:457	of	IN(IN)	of
POprc465_5:458	serbia	NP(NP)	serbia
POprc465_5:459	thank	FI(FI)	thank
POprc465_5:460	you	FI(FI)	you
POprc465_5:461	_1	PA(PA)	

POprc465_6:1	f_quelque	FW(FW)	
POprc465_6:2	f_quelque	FW(FW)	
POprc465_6:3	f_mots	FW(FW)	
POprc465_6:4	_0	PA(PA)	
POprc465_6:5	hh	BR(BR)	
POprc465_6:6	president	NN(NN)	president
POprc465_6:7	er	UH(UH)	er
POprc465_6:8	_0	PA(PA)	
POprc465_6:9	prime	NN(NN)	prime
POprc465_6:10	minister	NN(NN)	minister
POprc465_6:11	_0	PA(PA)	
POprc465_6:12	colleagues	NNS(NNS)	colleague
POprc465_6:13	er	UH(UH)	er
POprc465_6:14	_0	PA(PA)	
POprc465_6:15	hh	BR(BR)	
POprc465_6:16	_1	PA(PA)	
POprc465_6:17	from	IN(IN)	from
POprc465_6:18	the	DT(DT)	the
POprc465_6:19	commission	NN(NN)	commission
POprc465_6:20	's	POS(POS)	's
POprc465_6:21	er	UH(UH)	er
POprc465_6:22	_0	PA(PA)	
POprc465_6:23	side	NN(NN)	side
POprc465_6:24	er	UH(UH)	er
POprc465_6:25	_0	PA(PA)	
POprc465_6:26	i	PP(PP)	i
POprc465_6:27	want	VVP(VVP)	want
POprc465_6:28	to	TO(TO)	to
POprc465_6:29	say	VV(VV)	say
POprc465_6:30	that	IN(IN)	that
POprc465_6:31	er	UH(UH)	er
POprc465_6:32	_0	PA(PA)	
POprc465_6:33	we	PP(PP)	we
POprc465_6:34	want	VVP(VVP)	want
POprc465_6:35	to	TO(TO)	to
POprc465_6:36	see	VV(VV)	see
POprc465_6:37	serbia	NP(NP)	serbia
POprc465_6:38	_0	PA(PA)	
POprc465_6:39	make	VV(VV)	make
POprc465_6:40	er	UH(UH)	er
POprc465_6:41	progress	NN(NN)	progress
POprc465_6:42	er	UH(UH)	er
POprc465_6:43	towards	IN(IN)	towards
POprc465_6:44	er	UH(UH)	er
POprc465_6:45	the	DT(DT)	the
POprc465_6:46	european	NP(NP)	european
POprc465_6:47	_0	PA(PA)	
POprc465_6:48	union	NP(NP)	union
POprc465_6:49	_0	PA(PA)	
POprc465_6:50	and	CC(CC)	and
POprc465_6:51	er	UH(UH)	er
POprc465_6:52	_0	PA(PA)	
POprc465_6:53	we	PP(PP)	we
POprc465_6:54	want	VVP(VVP)	want
POprc465_6:55	to	TO(TO)	to
POprc465_6:56	help	VV(VV)	help
POprc465_6:57	er	UH(UH)	er
POprc465_6:58	serbia	NP(NP)	serbia
POprc465_6:59	to	TO(TO)	to
POprc465_6:60	realize	VV(VV)	realize
POprc465_6:61	its	PP$(PP$)	it
POprc465_6:62	er	UH(UH)	er
POprc465_6:63	s_eu	NP(NP)	s_eu
POprc465_6:64	perspective	NN(NN)	perspective
POprc465_6:65	hhh	BR(BR)	
POprc465_6:66	_0	PA(PA)	
POprc465_6:67	i	PP(PP)	i
POprc465_6:68	er	UH(UH)	er
POprc465_6:69	therefore	RB(RB)	therefore
POprc465_6:70	welcome	VVP(VVP)	welcome
POprc465_6:71	er	UH(UH)	er
POprc465_6:72	_0	PA(PA)	
POprc465_6:73	the	DT(DT)	the
POprc465_6:74	troika	NP(NP)	troika
POprc465_6:75	as	IN(IN)	as
POprc465_6:76	a	DT(DT)	a
POprc465_6:77	_0	PA(PA)	
POprc465_6:78	means	NN(NN)	means
POprc465_6:79	of	IN(IN)	of
POprc465_6:80	er	UH(UH)	er
POprc465_6:81	_0	PA(PA)	
POprc465_6:82	engaging	VVG(VVG)	engage
POprc465_6:83	_0	PA(PA)	
POprc465_6:84	more	RBR(RBR)	more
POprc465_6:85	closely	RB(RB)	closely
POprc465_6:86	with	IN(IN)	with
POprc465_6:87	serbia	NP(NP)	serbia
POprc465_6:88	_1	PA(PA)	
POprc465_6:89	both	CC(CC)	both
POprc465_6:90	on	IN(IN)	on
POprc465_6:91	s_icty	NP(NP)	s_icty
POprc465_6:92	and	CC(CC)	and
POprc465_6:93	er	UH(UH)	er
POprc465_6:94	_0	PA(PA)	
POprc465_6:95	other	JJ(JJ)	other
POprc465_6:96	issues	NNS(NNS)	issue
POprc465_6:97	er	UH(UH)	er
POprc465_6:98	_0	PA(PA)	
POprc465_6:99	and	CC(CC)	and
POprc465_6:100	er	UH(UH)	er
POprc465_6:101	_0	PA(PA)	
POprc465_6:102	our	PP$(PP$)	we
POprc465_6:103	goal	NN(NN)	goal
POprc465_6:104	is	VBZ(VBZ)	be
POprc465_6:105	to	TO(TO)	to
POprc465_6:106	help	VV(VV)	help
POprc465_6:107	er	UH(UH)	er
POprc465_6:108	_0	PA(PA)	
POprc465_6:109	serbia	NP(NP)	serbia
POprc465_6:110	_1	PA(PA)	
POprc465_6:111	to	TO(TO)	to
POprc465_6:112	prepare	VV(VV)	prepare
POprc465_6:113	_0	PA(PA)	
POprc465_6:114	such	PDT(PDT)	such
POprc465_6:115	an	DT(DT)	a
POprc465_6:116	action	NN(NN)	action
POprc465_6:117	plan	NN(NN)	plan
POprc465_6:118	er	UH(UH)	er
POprc465_6:119	_0	PA(PA)	
POprc465_6:120	that	PRE(PRE)	that
POprc465_6:121	will	MD(MD)	will
POprc465_6:122	er	UH(UH)	er
POprc465_6:123	_0	PA(PA)	
POprc465_6:124	help	VV(VV)	help
POprc465_6:125	er	UH(UH)	er
POprc465_6:126	_0	PA(PA)	
POprc465_6:127	the	DT(DT)	the
POprc465_6:128	country	NN(NN)	country
POprc465_6:129	to	TO(TO)	to
POprc465_6:130	achieve	VV(VV)	achieve
POprc465_6:131	er	UH(UH)	er
POprc465_6:132	_0	PA(PA)	
POprc465_6:133	full	JJ(JJ)	full
POprc465_6:134	cooperation	NN(NN)	cooperation
POprc465_6:135	with	IN(IN)	with
POprc465_6:136	the	DT(DT)	the
POprc465_6:137	s_icty	NP(NP)	s_icty
POprc465_6:138	_1	PA(PA)	
POprc465_6:139	and	CC(CC)	and
POprc465_6:140	er	UH(UH)	er
POprc465_6:141	_0	PA(PA)	
POprc465_6:142	achieve	VV(VV)	achieve
POprc465_6:143	er	UH(UH)	er
POprc465_6:144	_0	PA(PA)	
POprc465_6:145	also	RB(RB)	also
POprc465_6:146	concrete	JJ(JJ)	concrete
POprc465_6:147	er	UH(UH)	er
POprc465_6:148	_0	PA(PA)	
POprc465_6:149	results	NNS(NNS)	result
POprc465_6:150	er	UH(UH)	er
POprc465_6:151	_0	PA(PA)	
POprc465_6:152	hh	BR(BR)	
POprc465_6:153	i	PP(PP)	i
POprc465_6:154	have	VHP(VHP)	have
POprc465_6:155	often	RB(RB)	often
POprc465_6:156	said	VVN(VVN)	say
POprc465_6:157	er	UH(UH)	er
POprc465_6:158	_0	PA(PA)	
POprc465_6:159	publicly	RB(RB)	publicly
POprc465_6:160	that	IN(IN)	that
POprc465_6:161	er	UH(UH)	er
POprc465_6:162	_0	PA(PA)	
POprc465_6:163	we	PP(PP)	we
POprc465_6:164	are	VBP(VBP)	be
POprc465_6:165	ready	JJ(JJ)	ready
POprc465_6:166	to	TO(TO)	to
POprc465_6:167	resume	VV(VV)	resume
POprc465_6:168	negotiations	NNS(NNS)	negotiation
POprc465_6:169	er	UH(UH)	er
POprc465_6:170	_0	PA(PA)	
POprc465_6:171	even	RB(RB)	even
POprc465_6:172	on	IN(IN)	on
POprc465_6:173	the	DT(DT)	the
POprc465_6:174	very	RB(RB)	very
POprc465_6:175	same	JJ(JJ)	same
POprc465_6:176	day	NN(NN)	day
POprc465_6:177	_1	PA(PA)	
POprc465_6:178	when	WRB(WRB)	when
POprc465_6:179	serbia	NP(NP)	serbia
POprc465_6:180	achieves	VVZ(VVZ)	achieve
POprc465_6:181	er	UH(UH)	er
POprc465_6:182	_0	PA(PA)	
POprc465_6:183	full	JJ(JJ)	full
POprc465_6:184	cooperation	NN(NN)	cooperation
POprc465_6:185	_0	PA(PA)	
POprc465_6:186	hh	BR(BR)	
POprc465_6:187	_0	PA(PA)	
POprc465_6:188	i	PP(PP)	i
POprc465_6:189	'm	VBP(VBP)	be
POprc465_6:190	glad	JJ(JJ)	glad
POprc465_6:191	to	TO(TO)	to
POprc465_6:192	see	VV(VV)	see
POprc465_6:193	that	IN(IN)	that
POprc465_6:194	er	UH(UH)	er
POprc465_6:195	_0	PA(PA)	
POprc465_6:196	the	DT(DT)	the
POprc465_6:197	action	NN(NN)	action
POprc465_6:198	plan	NN(NN)	plan
POprc465_6:199	er	UH(UH)	er
POprc465_6:200	_0	PA(PA)	
POprc465_6:201	contains	VVZ(VVZ)	contain
POprc465_6:202	er	UH(UH)	er
POprc465_6:203	_0	PA(PA)	
POprc465_6:204	an	DT(DT)	a
POprc465_6:205	ug-	XX(XX)	
POprc465_6:206	unequ-	XX(XX)	
POprc465_6:207	unequivocal	JJ(JJ)	unequivocal
POprc465_6:208	commitment	NN(NN)	commitment
POprc465_6:209	er	UH(UH)	er
POprc465_6:210	_0	PA(PA)	
POprc465_6:211	from	IN(IN)	from
POprc465_6:212	the	DT(DT)	the
POprc465_6:213	serbian	JJ(JJ)	serbian
POprc465_6:214	government	NN(NN)	government
POprc465_6:215	er	UH(UH)	er
POprc465_6:216	_0	PA(PA)	
POprc465_6:217	to	TO(TO)	to
POprc465_6:218	arrest	VV(VV)	arrest
POprc465_6:219	er	UH(UH)	er
POprc465_6:220	_0	PA(PA)	
POprc465_6:221	ratko	NP(NP)	ratko
POprc465_6:222	mladic	NP(NP)	mladic
POprc465_6:223	and	CC(CC)	and
POprc465_6:224	er	UH(UH)	er
POprc465_6:225	_0	PA(PA)	
POprc465_6:226	other	JJ(JJ)	other
POprc465_6:227	remaining	JJ(JJ)	remaining
POprc465_6:228	inductees	NNS(NNS)	inductee
POprc465_6:229	er	UH(UH)	er
POprc465_6:230	_0	PA(PA)	
POprc465_6:231	hhh	BR(BR)	
POprc465_6:232	_0	PA(PA)	
POprc465_6:233	er	UH(UH)	er
POprc465_6:234	the	DT(DT)	the
POprc465_6:235	plan	NN(NN)	plan
POprc465_6:236	can	MD(MD)	can
POprc465_6:237	be	VB(VB)	be
POprc465_6:238	a	DT(DT)	a
POprc465_6:239	means	NN(NN)	means
POprc465_6:240	to	IN(IN)	to
POprc465_6:241	an	DT(DT)	a
POprc465_6:242	end	NN(NN)	end
POprc465_6:243	er	UH(UH)	er
POprc465_6:244	_1	PA(PA)	
POprc465_6:245	but	CC(CC)	but
POprc465_6:246	er	UH(UH)	er
POprc465_6:247	_0	PA(PA)	
POprc465_6:248	of	RB(RB)	of
POprc465_6:249	course	RB(RB)	course
POprc465_6:250	er	UH(UH)	er
POprc465_6:251	_0	PA(PA)	
POprc465_6:252	action	NN(NN)	action
POprc465_6:253	is	VBZ(VBZ)	be
POprc465_6:254	er	UH(UH)	er
POprc465_6:255	_0	PA(PA)	
POprc465_6:256	more	RBR(RBR)	more
POprc465_6:257	important	JJ(JJ)	important
POprc465_6:258	er	UH(UH)	er
POprc465_6:259	_0	PA(PA)	
POprc465_6:260	than	IN(IN)	than
POprc465_6:261	the	DT(DT)	the
POprc465_6:262	plan	NN(NN)	plan
POprc465_6:263	_0	PA(PA)	
POprc465_6:264	because	IN(IN)	because
POprc465_6:265	er	UH(UH)	er
POprc465_6:266	it	PP(PP)	it
POprc465_6:267	really	RB(RB)	really
POprc465_6:268	is	VBZ(VBZ)	be
POprc465_6:269	the	DT(DT)	the
POprc465_6:270	ac-	XX(XX)	
POprc465_6:271	the	DT(DT)	the
POprc465_6:272	results	NNS(NNS)	result
POprc465_6:273	er	UH(UH)	er
POprc465_6:274	_0	PA(PA)	
POprc465_6:275	that	PRE(PRE)	that
POprc465_6:276	er	UH(UH)	er
POprc465_6:277	_0	PA(PA)	
POprc465_6:278	count	VVP(VVP)	count
POprc465_6:279	and	CC(CC)	and
POprc465_6:280	er	UH(UH)	er
POprc465_6:281	_0	PA(PA)	
POprc465_6:282	the	DT(DT)	the
POprc465_6:283	actions	NNS(NNS)	action
POprc465_6:284	that	PRE(PRE)	that
POprc465_6:285	er	UH(UH)	er
POprc465_6:286	_0	PA(PA)	
POprc465_6:287	matter	VVP(VVP)	matter
POprc465_6:288	_1	PA(PA)	
POprc465_6:289	hh	BR(BR)	
POprc465_6:290	we	PP(PP)	we
POprc465_6:291	remain	VVP(VVP)	remain
POprc465_6:292	fully	RB(RB)	fully
POprc465_6:293	committed	JJ(JJ)	committed
POprc465_6:294	er	UH(UH)	er
POprc465_6:295	_0	PA(PA)	
