POmtg316_1:1	let	VV(VV)	let

POmtg316_109:1	yes	RE(RE)	yes

POmtg316_110:1	yeah	RE(RE)	yeah

POmtg316_111:1	erm	UH(UH)	erm
POmtg316_111:2	_0	PA(PA)	
POmtg316_111:3	so	DM(DM)	so
POmtg316_111:4	we	PP(PP)	we
POmtg316_111:5	would	MD(MD)	will
POmtg316_111:6	simply	RB(RB)	simply
POmtg316_111:7	have	VH(VH)	have
POmtg316_111:8	to	TO(TO)	to
POmtg316_111:9	ask	VV(VV)	ask
POmtg316_111:10	about	IN(IN)	about
POmtg316_111:11	it	PP(PP)	it
POmtg316_111:12	_0	PA(PA)	
POmtg316_111:13	and	CC(CC)	and
POmtg316_111:14	at	IN(IN)	at
POmtg316_111:15	the	DT(DT)	the
POmtg316_111:16	institutional	JJ(JJ)	institutional
POmtg316_111:17	level	NN(NN)	level
POmtg316_111:18	we	PP(PP)	we
POmtg316_111:19	thought	VVD(VVD)	think
POmtg316_111:20	of	IN(IN)	of
POmtg316_111:21	that	DT(DT)	that
POmtg316_111:22	it	PP(PP)	it
POmtg316_111:23	c-	XX(XX)	
POmtg316_111:24	it	PP(PP)	it
POmtg316_111:25	could	MD(MD)	can
POmtg316_111:26	comprise	VV(VV)	comprise
POmtg316_111:27	of	IN(IN)	of
POmtg316_111:28	two	CD(CD)	two
POmtg316_111:29	things	NNS(NNS)	thing
POmtg316_111:30	either	CC(CC)	either
POmtg316_111:31	tuition	NNS(NNS)	tuition
POmtg316_111:32	fees	NNS(NNS)	fee
POmtg316_111:33	_1	PA(PA)	
POmtg316_111:34	which	PRE(PRE)	which
POmtg316_111:35	varies	VVZ(VVZ)	vary
POmtg316_111:36	of	RB(RB)	of
POmtg316_111:37	course	RB(RB)	course
POmtg316_111:38	as	RB(RB)	as
POmtg316_111:39	well	RB(RB)	well
POmtg316_111:40	_0	PA(PA)	
POmtg316_111:41	so	DM(DM)	so
POmtg316_111:42	we	PP(PP)	we
POmtg316_111:43	need	VVP(VVP)	need
POmtg316_111:44	to	TO(TO)	to
POmtg316_111:45	ask	VV(VV)	ask
POmtg316_111:46	about	IN(IN)	about
POmtg316_111:47	that	DT(DT)	that
POmtg316_111:48	_0	PA(PA)	
POmtg316_111:49	or	CC(CC)	or
POmtg316_111:50	for	RB(RB)	for
POmtg316_111:51	instance	RB(RB)	instance
POmtg316_111:52	if	IN(IN)	if
POmtg316_111:53	there	EX(EX)	there
POmtg316_111:54	's	VBS(VBS)	be
POmtg316_111:55	a	DT(DT)	a
POmtg316_111:56	_0	PA(PA)	
POmtg316_111:57	a	DT(DT)	a
POmtg316_111:58	a	DT(DT)	a
POmtg316_111:59	lump	NN(NN)	lump
POmtg316_111:60	sum	NN(NN)	sum
POmtg316_111:61	of	IN(IN)	of
POmtg316_111:62	money	NN(NN)	money
POmtg316_111:63	erm	UH(UH)	erm
POmtg316_111:64	_0	PA(PA)	
POmtg316_111:65	stacked	VVN(VVN)	stack
POmtg316_111:66	away	RB(RB)	away
POmtg316_111:67	for	IN(IN)	for
POmtg316_111:68	for	IN(IN)	for
POmtg316_111:69	developing	VVG(VVG)	develop
POmtg316_111:70	joint	NNS(NNS)	joint
POmtg316_111:71	programs	NNS(NNS)	program
POmtg316_111:72	for	RB(RB)	for
POmtg316_111:73	instance	RB(RB)	instance
POmtg316_111:74	if	IN(IN)	if
POmtg316_111:75	it	PP(PP)	it
POmtg316_111:76	's	VBS(VBS)	be
POmtg316_111:77	a	DT(DT)	a
POmtg316_111:78	high	JJ(JJ)	high
POmtg316_111:79	priority	NN(NN)	priority
POmtg316_111:80	for	IN(IN)	for
POmtg316_111:81	the	DT(DT)	the
POmtg316_111:82	p_rectorate	PVC(NN)	
POmtg316_111:83	_0	PA(PA)	
POmtg316_111:84	they	PP(PP)	they
POmtg316_111:85	could	MD(MD)	can
POmtg316_111:86	take	VV(VV)	take
POmtg316_111:87	some	DT(DT)	some
POmtg316_111:88	money	NN(NN)	money
POmtg316_111:89	of	IN(IN)	of
POmtg316_111:90	_0	PA(PA)	
POmtg316_111:91	the	DT(DT)	the
POmtg316_111:92	general	JJ(JJ)	general
POmtg316_111:93	budget	NN(NN)	budget
POmtg316_111:94	and	CC(CC)	and
POmtg316_111:95	put	VV(VV)	put
POmtg316_111:96	it	PP(PP)	it
POmtg316_111:97	into	IN(IN)	into
POmtg316_111:98	_0	PA(PA)	

POmtg316_112:1	yah	RE(RE)	yah

POmtg316_113:1	actually	RB(RB)	actually
POmtg316_113:2	exploring	VVG(VVG)	explore
POmtg316_113:3	and	CC(CC)	and
POmtg316_113:4	experimenting	VVG(VVG)	experiment
POmtg316_113:5	with	IN(IN)	with
POmtg316_113:6	_0	PA(PA)	
POmtg316_113:7	with	IN(IN)	with
POmtg316_113:8	er	UH(UH)	er
POmtg316_113:9	_1	PA(PA)	
POmtg316_113:10	with	IN(IN)	with
POmtg316_113:11	joint	NNS(NNS)	joint
POmtg316_113:12	programs	NNS(NNS)	program
POmtg316_113:13	_0	PA(PA)	
POmtg316_113:14	so	DM(DM)	so
POmtg316_113:15	we	PP(PP)	we
POmtg316_113:16	have	VHP(VHP)	have
POmtg316_113:17	_0	PA(PA)	
POmtg316_113:18	formulated	VVN(VVN)	formulate
POmtg316_113:19	some	DT(DT)	some
POmtg316_113:20	questions	NNS(NNS)	question
POmtg316_113:21	that	PRE(PRE)	that
POmtg316_113:22	could	MD(MD)	can
POmtg316_113:23	_0	PA(PA)	
POmtg316_113:24	be	VB(VB)	be
POmtg316_113:25	put	VVN(VVN)	put
POmtg316_113:26	in	IN(IN)	in
POmtg316_113:27	_0	PA(PA)	
POmtg316_113:28	for	IN(IN)	for
POmtg316_113:29	this	DT(DT)	this
POmtg316_113:30	_0	PA(PA)	
POmtg316_113:31	in	IN(IN)	in
POmtg316_113:32	terms	IN(IN)	term
POmtg316_113:33	of	IN(IN)	of
POmtg316_113:34	funding	VVG(NN)	fund/funding
POmtg316_113:35	_1	PA(PA)	
POmtg316_113:36	then	RB(RB)	then
POmtg316_113:37	we	PP(PP)	we
POmtg316_113:38	have	VHP(VHP)	have
POmtg316_113:39	the	DT(DT)	the
POmtg316_113:40	contracts	NNS(NNS)	contract
POmtg316_113:41	and	CC(CC)	and
POmtg316_113:42	agreements	NNS(NNS)	agreement
POmtg316_113:43	_0	PA(PA)	
POmtg316_113:44	and	CC(CC)	and
POmtg316_113:45	_0	PA(PA)	
POmtg316_113:46	we	PP(PP)	we
POmtg316_113:47	thought	VVD(VVD)	think
POmtg316_113:48	that	IN(IN)	that
POmtg316_113:49	there	EX(EX)	there
POmtg316_113:50	should	MD(MD)	shall
POmtg316_113:51	be	VB(VB)	be
POmtg316_113:52	two	CD(CD)	two
POmtg316_113:53	steps	NNS(NNS)	step
POmtg316_113:54	_0	PA(PA)	
POmtg316_113:55	initially	RB(RB)	initially

POmtg316_114:1	can	MD(MD)	can
POmtg316_114:2	i	PP(PP)	i
POmtg316_114:3	still	RB(RB)	still
POmtg316_114:4	ask	VVP(VVP)	ask
POmtg316_114:5	about	IN(IN)	about
POmtg316_114:6	funding	VVG(NN)	fund/funding
POmtg316_114:7	_0	PA(PA)	
POmtg316_114:8	erm	UH(UH)	erm

POmtg316_115:1	xxx	UNI(UNI)	

POmtg316_116:1	cos	IN(IN)	cos
POmtg316_116:2	there	EX(EX)	there
POmtg316_116:3	's	VBS(VBS)	be
POmtg316_116:4	_0	PA(PA)	
POmtg316_116:5	there	EX(EX)	there
POmtg316_116:6	seems	VVZ(VVZ)	seem
POmtg316_116:7	to	TO(TO)	to
POmtg316_116:8	be	VB(VB)	be
POmtg316_116:9	two	CD(CD)	two
POmtg316_116:10	_1	PA(PA)	
POmtg316_116:11	er	UH(UH)	er
POmtg316_116:12	sets	NNS(NNS)	set
POmtg316_116:13	of	IN(IN)	of
POmtg316_116:14	funding	VVG(NN)	fund/funding
POmtg316_116:15	or	CC(CC)	or
POmtg316_116:16	two	CD(CD)	two
POmtg316_116:17	_0	PA(PA)	
POmtg316_116:18	stages	NNS(NNS)	stage
POmtg316_116:19	of	IN(IN)	of
POmtg316_116:20	funding	VVG(NN)	fund/funding
POmtg316_116:21	one	CD(CD)	one
POmtg316_116:22	is	VBZ(VBZ)	be
POmtg316_116:23	for	IN(IN)	for
POmtg316_116:24	the	DT(DT)	the
POmtg316_116:25	_0	PA(PA)	
POmtg316_116:26	for	IN(IN)	for
POmtg316_116:27	these	DT(DT)	these
POmtg316_116:28	projects	NNS(NNS)	project
POmtg316_116:29	_0	PA(PA)	
POmtg316_116:30	and	CC(CC)	and
POmtg316_116:31	another	DT(DT)	another
POmtg316_116:32	one	NN(NN)	one
POmtg316_116:33	is	VBZ(VBZ)	be
POmtg316_116:34	for	IN(IN)	for
POmtg316_116:35	_0	PA(PA)	
POmtg316_116:36	the	DT(DT)	the
POmtg316_116:37	degree	NN(NN)	degree
POmtg316_116:38	programs	NNS(NNS)	program
POmtg316_116:39	_1	PA(PA)	
POmtg316_116:40	and	CC(CC)	and
POmtg316_116:41	we	PP(PP)	we
POmtg316_116:42	need	VVP(VVP)	need
POmtg316_116:43	to	TO(TO)	to
POmtg316_116:44	be	VB(VB)	be
POmtg316_116:45	clear	JJ(JJ)	clear
POmtg316_116:46	what	WP(WP)	what
POmtg316_116:47	we	PP(PP)	we
POmtg316_116:48	are	VBP(VBP)	be
POmtg316_116:49	talking	VVG(VVG)	talk
POmtg316_116:50	about	IN(IN)	about
POmtg316_116:51	_0	PA(PA)	
POmtg316_116:52	er	UH(UH)	er
POmtg316_116:53	for	IN(IN)	for
POmtg316_116:54	the	DT(DT)	the
POmtg316_116:55	projects	NNS(NNS)	project
POmtg316_116:56	i	PP(PP)	i
POmtg316_116:57	think	VVP(VVP)	think
POmtg316_116:58	we	PP(PP)	we
POmtg316_116:59	are	VBP(VBP)	be
POmtg316_116:60	all	DT(DT)	all
POmtg316_116:61	trying	VVG(VVG)	try
POmtg316_116:62	to	TO(TO)	to
POmtg316_116:63	find	VV(VV)	find
POmtg316_116:64	funding	VVG(NN)	fund/funding
POmtg316_116:65	_0	PA(PA)	
POmtg316_116:66	er	UH(UH)	er
POmtg316_116:67	for	IN(IN)	for
POmtg316_116:68	the	DT(DT)	the
POmtg316_116:69	development	NN(NN)	development
POmtg316_116:70	phase	NN(NN)	phase
POmtg316_116:71	and	CC(CC)	and
POmtg316_116:72	we	PP(PP)	we
POmtg316_116:73	're	VBP(VBP)	be
POmtg316_116:74	trying	VVG(VVG)	try
POmtg316_116:75	to	TO(TO)	to
POmtg316_116:76	sort	RB(RB)	sort
POmtg316_116:77	of	RB(RB)	of
POmtg316_116:78	look	VV(VV)	look
POmtg316_116:79	_0	PA(PA)	
POmtg316_116:80	look	VV(VV)	look
POmtg316_116:81	at	IN(IN)	at
POmtg316_116:82	different	JJ(JJ)	different
POmtg316_116:83	ways	NNS(NNS)	way
POmtg316_116:84	and	CC(CC)	and
POmtg316_116:85	_0	PA(PA)	
POmtg316_116:86	also	RB(RB)	also
POmtg316_116:87	su-	XX(XX)	
POmtg316_116:88	suggesting	VVG(VVG)	suggest

POmtg316_117:1	mhm	RE(RE)	mhm

POmtg316_118:1	but	CC(CC)	but
POmtg316_118:2	for	IN(IN)	for
POmtg316_118:3	the	DT(DT)	the
POmtg316_118:4	sustainable	JJ(JJ)	sustainable
POmtg316_118:5	_0	PA(PA)	
POmtg316_118:6	er	UH(UH)	er
POmtg316_118:7	running	VVG(VVG)	run
POmtg316_118:8	of	IN(IN)	of
POmtg316_118:9	projects	NNS(NNS)	project
POmtg316_118:10	_0	PA(PA)	

POmtg316_119:1	mhm	RE(RE)	mhm

POmtg316_120:1	for	IN(IN)	for
POmtg316_120:2	the	DT(DT)	the
POmtg316_120:3	er	UH(UH)	er
POmtg316_120:4	the	DT(DT)	the
POmtg316_120:5	degree	NN(NN)	degree
POmtg316_120:6	programs	NNS(NNS)	program

POmtg316_121:1	programs	NNS(NNS)	program

POmtg316_122:1	implementation	NN(NN)	implementation
POmtg316_122:2	xx	UNI(UNI)	

POmtg316_123:1	they	PP(PP)	they
POmtg316_123:2	will	MD(MD)	will
POmtg316_123:3	need	VV(VV)	need
POmtg316_123:4	to	TO(TO)	to
POmtg316_123:5	to	TO(TO)	to
POmtg316_123:6	_0	PA(PA)	
POmtg316_123:7	to	TO(TO)	to
POmtg316_123:8	allot	VV(VV)	allot
POmtg316_123:9	on	IN(IN)	on
POmtg316_123:10	their	PP$(PP$)	they
POmtg316_123:11	own	JJ(JJ)	own
POmtg316_123:12	er	UH(UH)	er
POmtg316_123:13	and	CC(CC)	and
POmtg316_123:14	that	DT(DT)	that
POmtg316_123:15	is	VBZ(VBZ)	be
POmtg316_123:16	th-	XX(XX)	
POmtg316_123:17	that	DT(DT)	that
POmtg316_123:18	is	VBZ(VBZ)	be
POmtg316_123:19	the	DT(DT)	the
POmtg316_123:20	most	RBS(RBS)	most
POmtg316_123:21	crucial	JJ(JJ)	crucial
POmtg316_123:22	question	NN(NN)	question
POmtg316_123:23	_0	PA(PA)	
POmtg316_123:24	under	IN(IN)	under
POmtg316_123:25	this	DT(DT)	this
POmtg316_123:26	i	PP(PP)	i
POmtg316_123:27	think	VVP(VVP)	think
POmtg316_123:28	_0	PA(PA)	
POmtg316_123:29	it	PP(PP)	it
POmtg316_123:30	's	VBS(VBS)	be
POmtg316_123:31	for	IN(IN)	for
POmtg316_123:32	the	DT(DT)	the
POmtg316_123:33	a_[org1]	NP(NP)	
POmtg316_123:34	er	UH(UH)	er
POmtg316_123:35	a_[org2]	NP(NP)	
POmtg316_123:36	or	CC(CC)	or
POmtg316_123:37	whatever	WDT(WDT)	whatever
POmtg316_123:38	structure	NN(NN)	structure
POmtg316_123:39	i	PP(PP)	i
POmtg316_123:40	think	VVP(VVP)	think
POmtg316_123:41	it	PP(PP)	it
POmtg316_123:42	's	VBS(VBS)	be
POmtg316_123:43	more	RBR(RBR)	more
POmtg316_123:44	important	JJ(JJ)	important
POmtg316_123:45	for	IN(IN)	for
POmtg316_123:46	us	PP(PP)	we
POmtg316_123:47	to	TO(TO)	to
POmtg316_123:48	find	VV(VV)	find
POmtg316_123:49	ways	NNS(NNS)	way
POmtg316_123:50	also	RB(RB)	also
POmtg316_123:51	and	CC(CC)	and
POmtg316_123:52	help	VV(VV)	help
POmtg316_123:53	them	PP(PP)	they
POmtg316_123:54	in	IN(IN)	in
POmtg316_123:55	finding	VVG(VVG)	find
POmtg316_123:56	ways	NNS(NNS)	way
POmtg316_123:57	or	CC(CC)	or
POmtg316_123:58	_0	PA(PA)	

POmtg316_124:1	mhm	RE(RE)	mhm

POmtg316_125:1	doing	VVG(VVG)	do
POmtg316_125:2	the	DT(DT)	the
POmtg316_125:3	applications	NNS(NNS)	application
POmtg316_125:4	ourselves	PP(PP)	we

POmtg316_126:1	mhm	RE(RE)	mhm

POmtg316_127:1	for	IN(IN)	for
POmtg316_127:2	those	DT(DT)	those
POmtg316_127:3	things	NNS(NNS)	thing
POmtg316_127:4	so	DM(DM)	so
POmtg316_127:5	_0	PA(PA)	
POmtg316_127:6	this	DT(DT)	this
POmtg316_127:7	erm	UH(UH)	erm
POmtg316_127:8	_0	PA(PA)	

POmtg316_128:1	mhm	RE(RE)	mhm

POmtg316_129:1	clarification	NN(NN)	clarification
POmtg316_129:2	i	PP(PP)	i
POmtg316_129:3	think	VVP(VVP)	think
POmtg316_129:4	_0	PA(PA)	
POmtg316_129:5	is	VBZ(VBZ)	be
POmtg316_129:6	necessary	JJ(JJ)	necessary
POmtg316_129:7	because	IN(IN)	because
POmtg316_129:8	for	IN(IN)	for
POmtg316_129:9	the	DT(DT)	the
POmtg316_129:10	_1	PA(PA)	
POmtg316_129:11	for	IN(IN)	for
POmtg316_129:12	sustai-	XX(XX)	
POmtg316_129:13	for	IN(IN)	for
POmtg316_129:14	the	DT(DT)	the
POmtg316_129:15	sustainable	JJ(JJ)	sustainable
POmtg316_129:16	part	NN(NN)	part
POmtg316_129:17	_0	PA(PA)	
POmtg316_129:18	it	PP(PP)	it
POmtg316_129:19	can	MD(MD)	can
POmtg316_129:20	never	RB(RB)	never
POmtg316_129:21	be	VB(VB)	be
POmtg316_129:22	outside	IN(IN)	outside
POmtg316_129:23	project-borne	JJ(JJ)	project-borne
POmtg316_129:24	funding	VVG(NN)	fund/funding
POmtg316_129:25	that	DT(DT)	that
POmtg316_129:26	needs	VVZ(VVZ)	need
POmtg316_129:27	to	TO(TO)	to
POmtg316_129:28	be	VB(VB)	be
POmtg316_129:29	sort	RB(RB)	sort
POmtg316_129:30	of	RB(RB)	of
POmtg316_129:31	clear	JJ(JJ)	clear
POmtg316_129:32	_11	PA(PA)	

POmtg316_130:1	right	DM(DM)	right
POmtg316_130:2	i	PP(PP)	i
POmtg316_130:3	do	VVP(VVP)	do
POmtg316_130:4	n't	RB(RB)	not
POmtg316_130:5	know	VV(VV)	know
POmtg316_130:6	why	WRB(WRB)	why
POmtg316_130:7	we	PP(PP)	we
POmtg316_130:8	wrote	VVD(VVD)	write
POmtg316_130:9	_0	PA(PA)	
POmtg316_130:10	a_[org1]	NP(NP)	
POmtg316_130:11	_0	PA(PA)	
POmtg316_130:12	criteria	NNS(NNS)	criterion
POmtg316_130:13	under	IN(IN)	under
POmtg316_130:14	_0	PA(PA)	
POmtg316_130:15	the	DT(DT)	the
POmtg316_130:16	second	JJ(JJ)	second
POmtg316_130:17	_0	PA(PA)	

POmtg316_131:1	er	UH(UH)	er
POmtg316_131:2	because	IN(IN)	because
POmtg316_131:3	basically	RB(RB)	basically
POmtg316_131:4	_0	PA(PA)	
POmtg316_131:5	we	PP(PP)	we
POmtg316_131:6	thought	VVD(VVD)	think
POmtg316_131:7	_1	PA(PA)	
POmtg316_131:8	well	DM(DM)	well
POmtg316_131:9	this	DT(DT)	this
POmtg316_131:10	was	VBD(VBD)	be
POmtg316_131:11	just	RB(RB)	just
POmtg316_131:12	a	DT(DT)	a
POmtg316_131:13	_0	PA(PA)	
POmtg316_131:14	i	PP(PP)	i
POmtg316_131:15	do	VVP(VVP)	do
POmtg316_131:16	n't	RB(RB)	not
POmtg316_131:17	know	VV(VV)	know
POmtg316_131:18	whether	IN(IN)	whether
POmtg316_131:19	we	PP(PP)	we
POmtg316_131:20	can	MD(MD)	can
POmtg316_131:21	really	RB(RB)	really
POmtg316_131:22	_0	PA(PA)	
POmtg316_131:23	regard	VV(VV)	regard
POmtg316_131:24	this	DT(DT)	this
POmtg316_131:25	as	IN(IN)	as
POmtg316_131:26	relevant	JJ(JJ)	relevant
POmtg316_131:27	for	IN(IN)	for
POmtg316_131:28	contracts	NNS(NNS)	contract
POmtg316_131:29	and	CC(CC)	and
POmtg316_131:30	agreements	NNS(NNS)	agreement
POmtg316_131:31	but	CC(CC)	but
POmtg316_131:32	generally	RB(RB)	generally
POmtg316_131:33	we	PP(PP)	we
POmtg316_131:34	hope	VVP(VVP)	hope
POmtg316_131:35	that	IN(IN)	that
POmtg316_131:36	the	DT(DT)	the
POmtg316_131:37	_0	PA(PA)	
POmtg316_131:38	er	UH(UH)	er
POmtg316_131:39	_0	PA(PA)	
POmtg316_131:40	six	CD(CD)	six
POmtg316_131:41	criteria	NNS(NNS)	criterion
POmtg316_131:42	established	VVN(VVN)	establish
POmtg316_131:43	by	IN(IN)	by
POmtg316_131:44	the	DT(DT)	the
POmtg316_131:45	a_[org1]	NP(NP)	
POmtg316_131:46	_0	PA(PA)	
POmtg316_131:47	task	NN(NN)	task
POmtg316_131:48	force	NN(NN)	force
POmtg316_131:49	criteria	NNS(NNS)	criterion
POmtg316_131:50	_0	PA(PA)	
POmtg316_131:51	is	VBZ(VBZ)	be
POmtg316_131:52	the	DT(DT)	the
POmtg316_131:53	very	JJ(JJ)	very
POmtg316_131:54	basis	NN(NN)	basis
POmtg316_131:55	er	UH(UH)	er
POmtg316_131:56	f-	XX(XX)	
POmtg316_131:57	is	VBZ(VBZ)	be
POmtg316_131:58	is	VBZ(VBZ)	be
POmtg316_131:59	the	DT(DT)	the
POmtg316_131:60	basic	JJ(JJ)	basic
POmtg316_131:61	document	NN(NN)	document
POmtg316_131:62	_0	PA(PA)	
POmtg316_131:63	for	IN(IN)	for
POmtg316_131:64	also	RB(RB)	also
POmtg316_131:65	the	DT(DT)	the
POmtg316_131:66	contracts	NNS(NNS)	contract
POmtg316_131:67	and	CC(CC)	and
POmtg316_131:68	the	DT(DT)	the
POmtg316_131:69	agreements	NNS(NNS)	agreement
POmtg316_131:70	that	PRE(PRE)	that
POmtg316_131:71	should	MD(MD)	shall
POmtg316_131:72	be	VB(VB)	be
POmtg316_131:73	_0	PA(PA)	
POmtg316_131:74	developed	VVN(VVN)	develop
POmtg316_131:75	between	IN(IN)	between
POmtg316_131:76	they	PP(PP)	they
POmtg316_131:77	the	DT(DT)	the
POmtg316_131:78	the	DT(DT)	the
POmtg316_131:79	groups	NNS(NNS)	group
POmtg316_131:80	_1	PA(PA)	
POmtg316_131:81	so	DM(DM)	so
POmtg316_131:82	firs-	XX(XX)	
POmtg316_131:83	as	IN(IN)	as
POmtg316_131:84	first	JJ(JJ)	first
POmtg316_131:85	er	UH(UH)	er
POmtg316_131:86	thing	NN(NN)	thing
POmtg316_131:87	we	PP(PP)	we
POmtg316_131:88	have	VHP(VHP)	have
POmtg316_131:89	the	DT(DT)	the
POmtg316_131:90	the	DT(DT)	the
POmtg316_131:91	the	DT(DT)	the
POmtg316_131:92	the	DT(DT)	the
POmtg316_131:93	the	DT(DT)	the
POmtg316_131:94	criteria	NNS(NNS)	criterion
POmtg316_131:95	_0	PA(PA)	
POmtg316_131:96	and	CC(CC)	and
POmtg316_131:97	then	RB(RB)	then
POmtg316_131:98	er	UH(UH)	er
POmtg316_131:99	erm	UH(UH)	erm
POmtg316_131:100	_0	PA(PA)	
POmtg316_131:101	it	PP(PP)	it
POmtg316_131:102	has	VHZ(VHZ)	have
POmtg316_131:103	to	TO(TO)	to
POmtg316_131:104	be	VB(VB)	be
POmtg316_131:105	agreed	VVN(VVN)	agree
POmtg316_131:106	on	IN(IN)	on
POmtg316_131:107	individually	RB(RB)	individually
POmtg316_131:108	_0	PA(PA)	
POmtg316_131:109	by	IN(IN)	by
POmtg316_131:110	the	DT(DT)	the
POmtg316_131:111	consortia	NNS(NNS)	consortium
POmtg316_131:112	anyway	RB(RB)	anyway
POmtg316_131:113	_1	PA(PA)	

POmtg316_132:1	yeah	RE(RE)	yeah
POmtg316_132:2	_0	PA(PA)	
POmtg316_132:3	and	CC(CC)	and
POmtg316_132:4	_0	PA(PA)	
POmtg316_132:5	as	IN(IN)	as
POmtg316_132:6	i	PP(PP)	i
POmtg316_132:7	said	VVD(VVD)	say
POmtg316_132:8	we	PP(PP)	we
POmtg316_132:9	we	PP(PP)	we
POmtg316_132:10	_1	PA(PA)	
POmtg316_132:11	could	MD(MD)	can
POmtg316_132:12	contemplate	VV(VV)	contemplate
POmtg316_132:13	er	UH(UH)	er
POmtg316_132:14	on	IN(IN)	on
POmtg316_132:15	two	CD(CD)	two
POmtg316_132:16	steps	NNS(NNS)	step
POmtg316_132:17	more	RB(RB)	more
POmtg316_132:18	or	RB(RB)	or
POmtg316_132:19	less	RB(RB)	less
POmtg316_132:20	_0	PA(PA)	
POmtg316_132:21	initially	RB(RB)	initially
POmtg316_132:22	a	DT(DT)	a
POmtg316_132:23	letter	NN(NN)	letter
POmtg316_132:24	of	NN(NN)	of
POmtg316_132:25	intent	NN(NN)	intent
POmtg316_132:26	_1	PA(PA)	
POmtg316_132:27	erm	UH(UH)	erm
POmtg316_132:28	_1	PA(PA)	
POmtg316_132:29	signed	VVN(VVN)	sign
POmtg316_132:30	or	CC(CC)	or
POmtg316_132:31	memorandum	NN(NN)	memorandum
POmtg316_132:32	o-	XX(XX)	
POmtg316_132:33	of	IN(IN)	of
POmtg316_132:34	understanding	VVG(NN)	understand/understanding
POmtg316_132:35	head	NN(NN)	head
POmtg316_132:36	of	IN(IN)	of
POmtg316_132:37	faculty	NN(NN)	faculty
POmtg316_132:38	dean	NN(NN)	dean
POmtg316_132:39	or	CC(CC)	or
POmtg316_132:40	rector	NN(NN)	rector
POmtg316_132:41	could	MD(MD)	can
POmtg316_132:42	sign	VV(VV)	sign
POmtg316_132:43	these	DT(DT)	these
POmtg316_132:44	it	PP(PP)	it
POmtg316_132:45	would	MD(MD)	will
POmtg316_132:46	n't	RB(RB)	not
POmtg316_132:47	_0	PA(PA)	

POmtg316_133:1	xx	UNI(UNI)	

POmtg316_134:1	really	RB(RB)	really
POmtg316_134:2	be	VB(VB)	be
POmtg316_134:3	very	RB(RB)	very
POmtg316_134:4	specific	JJ(JJ)	specific
POmtg316_134:5	but	CC(CC)	but
POmtg316_134:6	it	PP(PP)	it
POmtg316_134:7	would	MD(MD)	will
POmtg316_134:8	sort	RB(RB)	sort
POmtg316_134:9	of	RB(RB)	of
POmtg316_134:10	say	VV(VV)	say
POmtg316_134:11	_0	PA(PA)	
POmtg316_134:12	we	PP(PP)	we
POmtg316_134:13	are	VBP(VBP)	be
POmtg316_134:14	_0	PA(PA)	
POmtg316_134:15	further	RBR(RBR)	far
POmtg316_134:16	_0	PA(PA)	
POmtg316_134:17	investigating	VVG(VVG)	investigate
POmtg316_134:18	the	DT(DT)	the
POmtg316_134:19	opportunities	NNS(NNS)	opportunity
POmtg316_134:20	to	TO(TO)	to
POmtg316_134:21	sort	RB(RB)	sort
POmtg316_134:22	of	RB(RB)	of
POmtg316_134:23	do	VV(VV)	do
POmtg316_134:24	this	DT(DT)	this
POmtg316_134:25	thing	NN(NN)	thing
POmtg316_134:26	_0	PA(PA)	

POmtg316_135:1	mhm	RE(RE)	mhm

POmtg316_136:1	then	RB(RB)	then
POmtg316_136:2	we	PP(PP)	we
POmtg316_136:3	could	MD(MD)	can
POmtg316_136:4	have	VH(VH)	have
POmtg316_136:5	a	DT(DT)	a
POmtg316_136:6	letter	NN(NN)	letter
POmtg316_136:7	of	IN(IN)	of
POmtg316_136:8	commitment	NN(NN)	commitment
POmtg316_136:9	or	CC(CC)	or
POmtg316_136:10	_0	PA(PA)	
POmtg316_136:11	er	UH(UH)	er

POmtg316_137:1	a	DT(DT)	a
POmtg316_137:2	signed	VVN(VVN)	sign
POmtg316_137:3	agreement	NN(NN)	agreement
POmtg316_137:4	_0	PA(PA)	

POmtg316_138:1	yah	RE(RE)	yah

POmtg316_139:1	a	DT(DT)	a
POmtg316_139:2	final	JJ(JJ)	final
POmtg316_139:3	agreement	NN(NN)	agreement
POmtg316_139:4	signed	VVN(VVN)	sign

POmtg316_140:1	after	IN(IN)	after
POmtg316_140:2	having	VHG(VHG)	have
POmtg316_140:3	settled	VVN(VVN)	settle
POmtg316_140:4	all	PDT(PDT)	all
POmtg316_140:5	the	DT(DT)	the
POmtg316_140:6	_0	PA(PA)	

POmtg316_141:1	yah	RE(RE)	yah

POmtg316_142:1	yah	RE(RE)	yah

POmtg316_143:1	after	IN(IN)	after
POmtg316_143:2	hav-	XX(XX)	
POmtg316_143:3	er	UH(UH)	er
POmtg316_143:4	having	VHG(VHG)	have
POmtg316_143:5	agreed	VVN(VVN)	agree
POmtg316_143:6	on	IN(IN)	on
POmtg316_143:7	the	DT(DT)	the
POmtg316_143:8	contract	NN(NN)	contract
POmtg316_143:9	and	CC(CC)	and
POmtg316_143:10	everything	NN(NN)	everything

POmtg316_144:1	yeah	RE(RE)	yeah

POmtg316_145:1	yes	RE(RE)	yes
POmtg316_145:2	xx	UNI(UNI)	
POmtg316_145:3	we	PP(PP)	we
POmtg316_145:4	felt	VVD(VVD)	feel

POmtg316_146:1	mhm	RE(RE)	mhm

